entry_role,start_state_family,row_count,entry_role_rejection_count,entry_role_rejection_rate
inflight_only,inflight_boundary_near,60,0,0.0
inflight_only,inflight_lift_region,90,0,0.0
inflight_only,inflight_nominal,150,0,0.0
inflight_only,inflight_recovery_edge,60,0,0.0
inflight_only,launch_gate,240,240,1.0
launch_capable,inflight_boundary_near,12,0,0.0
launch_capable,inflight_lift_region,18,0,0.0
launch_capable,inflight_nominal,30,0,0.0
launch_capable,inflight_recovery_edge,12,0,0.0
launch_capable,launch_gate,48,0,0.0
terminal_or_recovery,inflight_boundary_near,24,0,0.0
terminal_or_recovery,inflight_lift_region,36,36,1.0
terminal_or_recovery,inflight_nominal,60,60,1.0
terminal_or_recovery,inflight_recovery_edge,24,0,0.0
terminal_or_recovery,launch_gate,96,96,1.0
