t_read_host_s,line_text
8.9091545,"COMMIT_EVENT,37,0,2756511097,2756522249,137674,1500,1500,1500,1500,1500,1500,1500,1500"
8.9091545,"RX_EVENT,38,0,2756524929,32768,32768,32768,32768"
8.9249912,"RX_EVENT,39,0,2756540499,32768,32768,32768,32768"
8.9249912,"COMMIT_EVENT,39,0,2756540499,2756542250,137675,1500,1500,1500,1500,1500,1500,1500,1500"
8.9398804,"RX_EVENT,40,0,2756556306,32768,32768,32768,32768"
8.9542012,"COMMIT_EVENT,40,0,2756556306,2756562249,137676,1500,1500,1500,1500,1500,1500,1500,1500"
8.9542012,"RX_EVENT,41,0,2756571234,32768,32768,32768,32768"
8.9676207,"COMMIT_EVENT,41,0,2756571234,2756582249,137677,1500,1500,1500,1500,1500,1500,1500,1500"
8.9676207,"RX_EVENT,42,0,2756585519,32768,32768,32768,32768"
8.9828268,"RX_EVENT,43,0,2756598858,32768,32768,32768,32768"
8.9828268,"COMMIT_EVENT,43,0,2756598858,2756602249,137678,1500,1500,1500,1500,1500,1500,1500,1500"
8.9985525,"RX_EVENT,44,0,2756614122,32768,32768,32768,32768"
9.01402,"COMMIT_EVENT,44,0,2756614122,2756622249,137679,1500,1500,1500,1500,1500,1500,1500,1500"
9.01402,"RX_EVENT,45,0,2756630034,32768,32768,32768,32768"
9.027687,"COMMIT_EVENT,45,0,2756630034,2756642249,137680,1500,1500,1500,1500,1500,1500,1500,1500"
9.027687,"RX_EVENT,46,0,2756645310,32768,32768,32768,32768"
9.0410246,"RX_EVENT,47,0,2756659020,32768,32768,32768,32768"
9.0410246,"COMMIT_EVENT,47,0,2756659020,2756662249,137681,1500,1500,1500,1500,1500,1500,1500,1500"
9.0661258,"RX_EVENT,48,0,2756672349,32768,32768,32768,32768"
9.0661258,"COMMIT_EVENT,48,0,2756672349,2756682249,137682,1500,1500,1500,1500,1500,1500,1500,1500"
9.0780347,"RX_EVENT,49,0,2756684974,32768,32768,32768,32768"
9.0780347,"RX_EVENT,50,0,2756697351,32768,32768,32768,32768"
9.0911013,"COMMIT_EVENT,50,0,2756697351,2756702249,137683,1500,1500,1500,1500,1500,1500,1500,1500"
9.0911013,"RX_EVENT,51,0,2756709304,32768,32768,32768,32768"
9.1047805,"RX_EVENT,52,0,2756722375,32768,32768,32768,32768"
9.1047805,"COMMIT_EVENT,51,0,2756709304,2756722249,137684,1500,1500,1500,1500,1500,1500,1500,1500"
9.1260813,"COMMIT_EVENT,52,0,2756722375,2756742249,137685,1500,1500,1500,1500,1500,1500,1500,1500"
9.1260813,"RX_EVENT,53,0,2756745508,32768,32768,32768,32768"
9.1383762,"RX_EVENT,54,0,2756757302,32768,32768,32768,32768"
9.1383762,"COMMIT_EVENT,54,0,2756757302,2756762249,137686,1500,1500,1500,1500,1500,1500,1500,1500"
9.163881,"RX_EVENT,55,0,2756769579,32768,32768,32768,32768"
9.1791727,"COMMIT_EVENT,55,0,2756769579,2756782249,137687,1500,1500,1500,1500,1500,1500,1500,1500"
9.1932633,"RX_EVENT,56,0,2756795160,32768,32768,32768,32768"
9.1932633,"COMMIT_EVENT,56,0,2756795160,2756802249,137688,1500,1500,1500,1500,1500,1500,1500,1500"
9.2062392,"RX_EVENT,57,0,2756810422,32768,32768,32768,32768"
9.2062392,"COMMIT_EVENT,57,0,2756810422,2756822249,137689,1500,1500,1500,1500,1500,1500,1500,1500"
9.2062392,"RX_EVENT,58,0,2756824528,32768,32768,32768,32768"
9.2190321,"RX_EVENT,59,0,2756837452,32768,32768,32768,32768"
9.2315079,"COMMIT_EVENT,59,0,2756837452,2756842249,137690,1500,1500,1500,1500,1500,1500,1500,1500"
9.2315079,"RX_EVENT,60,0,2756850310,32768,32768,32768,32768"
9.2442684,"COMMIT_EVENT,60,0,2756850310,2756862249,137691,1500,1500,1500,1500,1500,1500,1500,1500"
9.2442684,"RX_EVENT,61,0,2756863772,32768,32768,32768,32768"
9.2588361,"RX_EVENT,62,0,2756875515,32768,32768,32768,32768"
9.2588361,"COMMIT_EVENT,62,0,2756875515,2756882250,137692,1500,1500,1500,1500,1500,1500,1500,1500"
9.2858343,"RX_EVENT,63,0,2756890173,32768,32768,32768,32768"
9.299717,"COMMIT_EVENT,63,0,2756890173,2756902249,137693,1500,1500,1500,1500,1500,1500,1500,1500"
9.299717,"RX_EVENT,64,0,2756903819,32768,32768,32768,32768"
9.3128199,"RX_EVENT,65,0,2756917098,32768,32768,32768,32768"
9.3128199,"COMMIT_EVENT,65,0,2756917098,2756922249,137694,1500,1500,1500,1500,1500,1500,1500,1500"
9.3262263,"RX_EVENT,66,0,2756944165,32768,32768,32768,32768"
