table_name,column_name,dtype
start_states,sample_id,object
start_states,paired_sample_key,object
start_states,seed,int64
start_states,sampling_round,object
start_states,fan_layout,object
start_states,layout_branch_id,object
start_states,fan_config_id,object
start_states,updraft_model_id,object
start_states,branch_seed_family,object
start_states,start_class,object
start_states,family,object
start_states,target_heading_deg,object
start_states,direction_sign,int64
start_states,environment_role,object
start_states,paired_environment_modes,object
start_states,first_validity_gate_environment,object
start_states,count_basis,object
start_states,x_w_m,float64
start_states,y_w_m,float64
start_states,z_w_m,float64
start_states,speed_m_s,float64
start_states,phi_rad,float64
start_states,theta_rad,float64
start_states,psi_rad,float64
start_states,u_m_s,float64
start_states,v_m_s,float64
start_states,w_m_s,float64
start_states,p_rad_s,float64
start_states,q_rad_s,float64
start_states,r_rad_s,float64
start_states,updraft_center_x_m,float64
start_states,updraft_center_y_m,float64
start_states,updraft_relative_radius_m,float64
start_states,updraft_relative_azimuth_rad,float64
start_states,updraft_relative_height_m,float64
start_states,updraft_sector_label,object
start_states,left_wing_lift_exposure_preference,object
start_states,right_wing_lift_exposure_preference,object
start_states,wing_exposure_bookkeeping_status,object
start_states,wind_descriptor_status,object
start_states,wind_descriptor_environment_mode,object
start_states,wind_descriptor_model_id,object
start_states,wind_descriptor_model_source,object
start_states,w_cg_m_s,float64
start_states,w_wing_mean_m_s,float64
start_states,w_left_m_s,float64
start_states,w_right_m_s,float64
start_states,delta_w_lr_m_s,float64
start_states,w_panel_max_m_s,float64
start_states,w_panel_min_m_s,float64
start_states,spanwise_w_gradient_m_s_per_m,float64
start_states,local_updraft_uncertainty_m_s,float64
start_states,local_updraft_uncertainty_status,object
start_states,wing_panel_sample_count,int64
start_states,true_safe_start,bool
start_states,start_generation_status,object
start_states,layout_specific_sample_generated,bool
start_states,no_rollout_performed,bool
start_states,candidate_id,object
start_states,test_environment_mode,object
start_states,paired_environment_mode,object
start_states,latency_case_planned,object
start_states,archive_chunk_index,int64
start_states,archive_chunk_count,int64
start_states,chunk_local_index,int64
start_states,archive_chunk_size,int64
start_states,archive_branch_trial_index,int64
candidate_index,candidate_id,object
candidate_index,sample_id,object
candidate_index,paired_sample_key,object
candidate_index,seed,int64
candidate_index,sampling_round,object
candidate_index,fan_layout,object
candidate_index,layout_branch_id,object
candidate_index,fan_config_id,object
candidate_index,updraft_model_id,object
candidate_index,test_environment_mode,object
candidate_index,paired_environment_mode,object
candidate_index,family,object
candidate_index,target_heading_deg,object
candidate_index,direction_sign,int64
candidate_index,start_class,object
candidate_index,environment_role,object
candidate_index,validity_gate_role,object
candidate_index,first_validity_gate_environment,object
candidate_index,w0_failure_policy,object
candidate_index,acceptance_interpretation,object
candidate_index,wind_descriptor_status,object
candidate_index,wind_descriptor_environment_mode,object
candidate_index,wind_descriptor_model_id,object
candidate_index,wind_descriptor_model_source,object
candidate_index,w_cg_m_s,float64
candidate_index,w_wing_mean_m_s,float64
candidate_index,w_left_m_s,float64
candidate_index,w_right_m_s,float64
candidate_index,delta_w_lr_m_s,float64
candidate_index,w_panel_max_m_s,float64
candidate_index,w_panel_min_m_s,float64
candidate_index,spanwise_w_gradient_m_s_per_m,float64
candidate_index,local_updraft_uncertainty_m_s,float64
candidate_index,local_updraft_uncertainty_status,object
candidate_index,wing_panel_sample_count,int64
candidate_index,count_basis,object
candidate_index,planned_floor_trial_count,int64
candidate_index,planned_target_trial_count,int64
candidate_index,pilot_trial_count,int64
candidate_index,latency_case_planned,object
candidate_index,latency_acceptance_role,object
candidate_index,latency_model_status,object
candidate_index,planned_replay_status,object
candidate_index,planned_result_path,object
candidate_index,branch_decision_scope,object
candidate_index,no_cross_branch_promotion,bool
candidate_index,no_cross_branch_rejection,bool
candidate_index,no_cross_branch_cluster_merge,bool
candidate_index,no_cross_branch_safety_justification,bool
candidate_index,no_rollout_performed,bool
candidate_index,notes,object
candidate_index,archive_chunk_index,int64
candidate_index,archive_chunk_count,int64
candidate_index,chunk_local_index,int64
candidate_index,archive_chunk_size,int64
candidate_index,archive_branch_trial_index,int64
