split,session_label,case_id,throw_id,replay_status,alignment_window_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_final_phi_deg,sim_final_phi_deg,final_phi_residual_actual_minus_sim_deg,actual_final_theta_deg,sim_final_theta_deg,final_theta_residual_actual_minus_sim_deg,actual_final_psi_deg,sim_final_psi_deg,final_psi_residual_actual_minus_sim_deg
train,20260603_215603,C0_neutral,v001,ok,0.1,1.0430116,1.421162604,2.117099758,1.619127582,1.241574029,0.309908252,0.2212548969,0.01360836416,0.3587826628,-0.01841783817,2.597822155,0.7915627117,1.806259444,0.4569572101,0.1139375326,0.3430196775,1.227717319,2.177697575,-0.9499802553,1.177088845,2.087893917,-0.9108050719,-17.38435074,-7.655154111,-9.729196634,-18.93111905,17.39414001,-36.32525906,-2.652094672,-4.67211119,2.020016517
train,20260603_215603,C0_neutral,v002,ok,0.1,1.0287708,1.451626484,2.143588143,1.719459386,0.7031543527,0.14946867,0.1120846501,0.103749851,0.1689444322,-0.05615978108,2.506247447,0.5414242971,1.964823149,-0.2329090578,0.3329657301,-0.5658747879,1.329187071,2.238370319,-0.9091832472,1.292014773,2.175771628,-0.8837568555,-27.14637335,-5.829474621,-21.31689873,-17.97487321,14.82920872,-32.80408192,4.123410982,-3.422949175,7.546360157
train,20260603_215603,C0_neutral,v003,ok,0.1,1.0481863,1.764800746,2.204873637,1.482480722,4.528932011,1.081098166,0.7829388932,0.1842815554,0.910115081,-0.3138090676,3.278176679,3.673753815,-0.3955771366,0.03285305824,0.3578187653,-0.3249657071,1.085967806,1.038235139,0.04773266648,1.036044648,0.9905063053,0.04553834226,-25.42298147,-5.26377887,-20.1592026,-8.692920924,13.02134743,-21.71426835,-3.435906629,17.47374167,-20.9096483
train,20260603_215603,C0_neutral,v004,ok,0.1,1.0174754,2.045213254,2.162187584,1.354646122,4.936262964,0.7375324496,1.105482571,0.1804750889,0.9395445196,-0.2894456713,3.316378,4.009424238,-0.6930462377,0.02152850562,0.1596214176,-0.138092912,0.9637491936,0.9660158953,-0.002266701696,0.947196555,0.9494243255,-0.002227770515,-30.20872738,-17.02418406,-13.18454332,-5.325744412,6.672128593,-11.99787301,-10.85496933,2.95620917,-13.8111785
train,20260603_215603,C0_neutral,v005,ok,0.1,1.1834831,1.773638175,2.009165377,1.614263446,4.33992175,1.110106702,0.8374588464,-0.1172454789,0.9174382582,-0.4390485275,3.19274718,3.135651668,0.05709551221,0.4938093977,-0.3655811814,0.8593905791,1.238647521,1.326918096,-0.08827057533,1.046611921,1.121197334,-0.07458541261,25.24304424,-6.737418496,31.98046273,-20.40537221,24.65067335,-45.05604556,-6.040792155,3.096865958,-9.137658112
train,20260603_215603,C0_neutral,v006,ok,0.1,1.0610266,1.66402089,2.058735457,1.585016076,3.596832714,1.030655701,0.8196190752,-0.1548175505,1.102089528,-0.1507233775,2.565254764,2.320743661,0.2445111033,0.2995980395,0.2621199123,0.03747812713,1.188744213,1.378242169,-0.1894979565,1.120371735,1.298970421,-0.1785986859,10.65437318,-2.400268595,13.05464178,-13.89936584,27.2467875,-41.14615335,-2.757714309,12.779132,-15.53684631
train,20260603_215603,C0_neutral,v007,ok,0.1,0.9432016,1.910834054,2.104419799,1.326028529,4.725515757,0.7523505947,1.189766574,0.1422813685,1.176958644,-0.2732739438,3.159773298,3.518958376,-0.3591850787,-0.1956989933,0.325216562,-0.5209155553,0.9264025998,0.7834006107,0.143001989,0.9821893853,0.8305759985,0.1516133868,-26.28787437,-6.437076453,-19.85079792,-20.55387692,11.99597154,-32.54984846,-1.724079001,13.88427552,-15.60835452
train,20260603_215603,C0_neutral,v009,ok,0.1,1.1230807,1.809774204,2.100533015,1.349487015,4.959247946,1.070490278,1.084053187,-0.05950613767,1.144223325,-0.1367077064,3.508976498,4.244043433,-0.7350669345,0.173594702,-0.2512649903,0.4248596923,0.9598796818,1.078797788,-0.1189181062,0.8546845136,0.9605701425,-0.1058856289,-9.745533533,-17.16671586,7.421182327,-9.82600496,7.953962416,-17.77996738,-5.82248848,-2.697624732,-3.124863747
train,20260603_220741,C0_neutral,v001,ok,0.1,0.9041508,1.697053553,2.128724727,1.285226262,4.343967202,1.365320143,0.8535124051,0.0002564684299,0.7427722858,-0.4079169064,3.192648815,3.573841741,-0.3811929263,0.4740366379,-0.1753288158,0.6493654537,0.8893321755,1.193966487,-0.3046343111,0.9836104503,1.320539103,-0.336928653,-28.50628818,-21.33034497,-7.175943218,-0.07888617517,1.813366977,-1.892253152,-15.03866181,-1.595018372,-13.44364344
train,20260603_220741,C0_neutral,v003,ok,0.1,0.9354747,1.726891046,2.140303896,1.463862201,3.706383489,1.275650924,0.8743252415,0.1874026643,0.9004442532,-0.3827598243,2.544878657,2.585883297,-0.04100464036,0.3568533012,0.2548692583,0.1019840429,1.072179034,1.037387508,0.03479152544,1.146133651,1.108942346,0.03719130559,-13.99841591,-6.690780311,-7.307635596,-14.83580914,22.48443185,-37.32024099,-9.521471286,6.789581116,-16.3110524
train,20260603_220741,C0_neutral,v004,ok,0.1,0.9626412,1.792044907,2.061946679,1.359355116,4.470209723,1.202319764,0.8699264399,-0.1760024947,0.8783163183,0.1546372633,3.196794398,3.534320006,-0.3375256077,0.05213237324,0.05347155263,-0.001339179392,0.9600441685,0.9295952503,0.03044891811,0.9973021812,0.9656715818,0.03163059935,1.750024684,-6.556488344,8.306513028,-19.79784329,10.80733008,-30.60517337,4.070234498,12.56167148,-8.491436985
train,20260603_220741,C0_neutral,v005,ok,0.1,0.7673449,1.848151136,2.103059543,1.234721996,3.939949583,0.9934539611,1.116445994,0.2598318884,1.016297127,-0.04520856665,2.454603764,2.594381866,-0.139778102,-0.008779822043,0.2974663953,-0.3062462174,0.8555566598,0.7887429031,0.06681375672,1.11495712,1.02788577,0.08707135047,-21.92100934,-3.613977145,-18.3070322,-13.2683994,13.18005783,-26.44845723,-4.230755341,14.03252654,-18.26328188
train,20260603_220741,C0_neutral,v006,ok,0.1,1.0344512,1.727511427,2.130897838,1.324482205,4.361617912,1.031963337,0.7938998107,0.04360875064,0.7364863252,-0.05573838055,3.280709273,3.789431861,-0.5087225878,0.1019346267,0.1457028086,-0.04376818191,0.9310732616,1.192997719,-0.2619244573,0.9000649442,1.153266311,-0.2532013664,-7.896067773,-10.61510984,2.719042065,-9.237348907,6.690259719,-15.92760863,-5.933748812,9.554184435,-15.48793325
