event_id,surface_index,surface_name,command_before_norm_1,command_before_norm_2,command_before_norm_3,command_before_norm_4,command_after_norm_1,command_after_norm_2,command_after_norm_3,command_after_norm_4,scheduled_start_s,scheduled_end_s,random_seed,repetition_index,step_kind,step_label,latency_method
1,2,Aileron_R,0,0,0,0,0,0.7,0,0,2,2.6,2,1,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
2,2,Aileron_R,0,0.7,0,0,0,0,0,0,2.6,3.2,2,1,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
3,2,Aileron_R,0,0,0,0,0,-0.7,0,0,3.2,3.8,2,1,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
4,2,Aileron_R,0,-0.7,0,0,0,0,0,0,3.8,4.4,2,1,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
5,4,Elevator,0,0,0,0,0,0,0,0.7,4.4,5,2,1,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
6,4,Elevator,0,0,0,0.7,0,0,0,0,5,5.6,2,1,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
7,4,Elevator,0,0,0,0,0,0,0,-0.7,5.6,6.2,2,1,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
8,4,Elevator,0,0,0,-0.7,0,0,0,0,6.2,6.8,2,1,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
9,1,Aileron_L,0,0,0,0,0.7,0,0,0,6.8,7.4,2,1,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
10,1,Aileron_L,0.7,0,0,0,0,0,0,0,7.4,8,2,1,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
11,1,Aileron_L,0,0,0,0,-0.7,0,0,0,8,8.6,2,1,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
