frame_number,t_capture_host_s,state_ready_host_s,subject_name,surface_index,surface_name,surface_angle_rad,surface_angle_deg,surface_rate_radps,surface_rate_degps,quality_flag
1528576,6.27026438249976,6.2863182,Aileron_L,1,Aileron_L,-0.0123197061469318,-0.705867167060569,NaN,NaN,ok
1528576,6.27026438249976,6.2863182,Aileron_R,2,Aileron_R,-0.00666057861472114,-0.381623043738613,NaN,NaN,ok
1528576,6.27026438249976,6.2863182,Rudder,3,Rudder,0.0270118049249288,1.54766241922911,NaN,NaN,ok
1528576,6.27026438249976,6.2863182,Elevator,4,Elevator,-0.0109210784881788,-0.625731705103759,NaN,NaN,ok
1528581,6.29572713500015,6.3124651,Aileron_L,1,Aileron_L,-0.0140322262334984,-0.803987340352215,-0.0672558902082884,-3.85347865633016,ok
1528581,6.29572713500015,6.3124651,Aileron_R,2,Aileron_R,0.00244099819707611,0.139858894491504,0.35744669833554,20.4801872155124,ok
1528581,6.29572713500015,6.3124651,Rudder,3,Rudder,0.0474279793650059,2.71742304844839,0.801805478012216,45.9400698805695,ok
1528581,6.29572713500015,6.3124651,Elevator,4,Elevator,-0.0134036516795999,-0.767972671304511,-0.0974982257469479,-5.58623684531385,ok
1528584,6.30961861749982,6.3255279,Aileron_L,1,Aileron_L,0.000528698278364548,0.0302921799861214,1.04819082572387,60.0569104383104,ok
1528584,6.30961861749982,6.3255279,Aileron_R,2,Aileron_R,0.0138624424972225,0.79425944883364,0.822190453784438,47.1080429577943,ok
1528584,6.30961861749982,6.3255279,Rudder,3,Rudder,0.0238154286699328,1.36452355008201,-1.69978623200407,-97.3905771682784,ok
1528584,6.30961861749982,6.3255279,Elevator,4,Elevator,-0.0143460186750306,-0.821966322895115,-0.0678377556501085,-3.88681709039097,ok
1528587,6.32395823249998,6.3402941,Aileron_L,1,Aileron_L,0.00218182096925279,0.125009133191327,0.115283617507857,6.60526473020067,ok
1528587,6.32395823249998,6.3402941,Aileron_R,2,Aileron_R,0.0217267922179349,1.24485349644535,0.548435206986055,31.4230226966847,ok
1528587,6.32395823249998,6.3402941,Rudder,3,Rudder,0.0317600604268584,1.81971741953945,0.554033825652751,31.7437999173895,ok
1528587,6.32395823249998,6.3402941,Elevator,4,Elevator,-0.0177902410272948,-1.01930572738447,-0.240189318348226,-13.7618342254775,ok
1528589,6.33655008499951,6.3525439,Aileron_L,1,Aileron_L,0.00733719341897743,0.420390216378569,0.409421286495904,23.4581117590318,ok
1528589,6.33655008499951,6.3525439,Aileron_R,2,Aileron_R,0.00729516574383826,0.417982207970348,-1.14610828507038,-65.6671675995096,ok
1528589,6.33655008499951,6.3525439,Rudder,3,Rudder,0.0497518282121203,2.85056977961439,1.42884200604574,81.8666165374269,ok
1528589,6.33655008499951,6.3525439,Elevator,4,Elevator,-0.00328976913123835,-0.188489886792377,1.15157574285408,65.9804298551814,ok
1528591,6.34675938499945,6.3625463,Aileron_L,1,Aileron_L,0.00547163716095733,0.313501716349799,-0.182731064620658,-10.469718788696,ok
1528591,6.34675938499945,6.3625463,Aileron_R,2,Aileron_R,0.00730726534403114,0.418675463995196,0.00118515473078058,0.0679043641436906,ok
1528591,6.34675938499945,6.3625463,Rudder,3,Rudder,0.00891085633529354,0.510554459859731,-4.00036945501459,-229.204286265385,ok
1528591,6.34675938499945,6.3625463,Elevator,4,Elevator,-0.0105673877669288,-0.605466719523195,-0.712842078862962,-40.8428425781795,ok
1528594,6.36148551499929,6.3777259,Aileron_L,1,Aileron_L,0.00956726229652016,0.548163751085245,0.278119583054586,15.935078308966,ok
1528594,6.36148551499929,6.3777259,Aileron_R,2,Aileron_R,0.00452963337406187,0.259528875075348,-0.188619275396839,-10.8070884150547,ok
1528594,6.36148551499929,6.3777259,Rudder,3,Rudder,-0.0533070701604634,-3.05427013840232,-4.22500185021031,-242.074774452015,ok
1528594,6.36148551499929,6.3777259,Elevator,4,Elevator,-0.00979504780176432,-0.56121489916999,0.0524469066328294,3.00498639857781,ok
1528597,6.37618670999986,6.3914777,Aileron_L,1,Aileron_L,0.00339239877153608,0.194370132034382,-0.420024598322981,-24.0656367755845,ok
1528597,6.37618670999986,6.3914777,Aileron_R,2,Aileron_R,-0.00374154668639326,-0.214374833981492,-0.562619573451814,-32.2357270302396,ok
1528597,6.37618670999986,6.3914777,Rudder,3,Rudder,-0.0327995226540732,-1.87927421812212,1.39495785924811,79.9251979335209,ok
1528597,6.37618670999986,6.3914777,Elevator,4,Elevator,-0.00988274160686142,-0.566239384091497,-0.00596508005598684,-0.341773911665706,ok
1528600,6.38783731500013,6.4036649,Aileron_L,1,Aileron_L,0.00765805398598074,0.438774172680034,0.366131648471867,20.9777982036054,ok
1528600,6.38783731500013,6.4036649,Aileron_R,2,Aileron_R,-0.00355265732866306,-0.203552270988614,0.0162128368205576,0.928927123752249,ok
1528600,6.38783731500013,6.4036649,Rudder,3,Rudder,0.0221681724748297,1.27014272232582,4.71801207985449,270.322179867402,ok
1528600,6.38783731500013,6.4036649,Elevator,4,Elevator,-0.0231954299004942,-1.32900023728987,-1.14266068528805,-65.4696346825316,ok
1528602,6.40045656249995,6.4164422,Aileron_L,1,Aileron_L,0.007986741232751,0.457606564699745,0.0260465013286405,1.49235459721299,ok
1528602,6.40045656249995,6.4164422,Aileron_R,2,Aileron_R,-0.00289947770935317,-0.166127835538196,0.0517605839270272,2.96566300415134,ok
1528602,6.40045656249995,6.4164422,Rudder,3,Rudder,-0.00979644938540192,-0.561295203997059,-2.53300538409369,-145.130517992483,ok
1528602,6.40045656249995,6.4164422,Elevator,4,Elevator,0.0282485044246124,1.61852008108692,4.07662456306351,233.573382122903,ok
1528605,6.41349059000019,6.4291956,Aileron_L,1,Aileron_L,-0.00667297998479954,-0.382333589904286,-1.12472689023182,-64.4421039151572,ok
1528605,6.41349059000019,6.4291956,Aileron_R,2,Aileron_R,-0.00273397100737149,-0.156645000033517,0.0126980476279125,0.727544537135493,ok
1528605,6.41349059000019,6.4291956,Rudder,3,Rudder,-0.0179657704316218,-1.02936282143286,-0.626768744048159,-35.9112037646748,ok
1528605,6.41349059000019,6.4291956,Elevator,4,Elevator,0.0107393262452069,0.615318068664433,-1.34334365790402,-76.9679220335663,ok
1528607,6.4267789724999,6.4424422,Aileron_L,1,Aileron_L,-0.00514173027647491,-0.294599444236646,0.115232211923318,6.60231940716323,ok
1528607,6.4267789724999,6.4424422,Aileron_R,2,Aileron_R,-0.00379617841076696,-0.217505001215627,-0.0799350412601904,-4.57994049941301,ok
1528607,6.4267789724999,6.4424422,Rudder,3,Rudder,0.0185151496626292,1.06083993272173,2.74532435343796,157.295498846477,ok
1528607,6.4267789724999,6.4424422,Elevator,4,Elevator,0.0586851954580392,3.36241401964595,3.60810423795979,206.729144878362,ok
1528610,6.4409332949997,6.4563154,Aileron_L,1,Aileron_L,0.00409898439768996,0.234854506277609,0.6528546084983,37.4058137026183,ok
1528610,6.4409332949997,6.4563154,Aileron_R,2,Aileron_R,-0.00301685262158768,-0.172852922629952,0.0550592081811298,3.15466025211091,ok
1528610,6.4409332949997,6.4563154,Rudder,3,Rudder,0.03278756083576,1.87858885641748,1.00834294070476,57.7737948041929,ok
1528610,6.4409332949997,6.4563154,Elevator,4,Elevator,-0.00310613259705006,-0.177968288418978,-4.36554473419461,-250.127288544912,ok
1528613,6.45391429249999,6.4690512,Aileron_L,1,Aileron_L,-0.00776923703766119,-0.445144492294709,-0.914276536536701,-52.3841868513914,ok
1528613,6.45391429249999,6.4690512,Aileron_R,2,Aileron_R,-0.00729777123980391,-0.418131491892718,-0.329783486833164,-18.8952019486485,ok
1528613,6.45391429249999,6.4690512,Rudder,3,Rudder,0.00291565740921707,0.167054864054186,-2.30120246351558,-131.84918896455,ok
1528613,6.45391429249999,6.4690512,Elevator,4,Elevator,-0.00872915687581033,-0.500143847691535,-0.43317351217711,-24.8190140446072,ok
1528615,6.46524064000003,6.480927,Aileron_L,1,Aileron_L,0.00426845970744028,0.244564726257974,1.0628048225659,60.8942307791767,ok
1528615,6.46524064000003,6.480927,Aileron_R,2,Aileron_R,-0.00295140602273536,-0.169103108732228,0.383739349075471,21.9866451351219,ok
1528615,6.46524064000003,6.480927,Rudder,3,Rudder,-0.0115554922550714,-0.662080936411699,-1.27765368882027,-73.2041640487228,ok
1528615,6.46524064000003,6.480927,Elevator,4,Elevator,-0.0218450956257086,-1.2516317824128,-1.15800250255876,-66.348656062204,ok
1528618,6.47892011999998,6.4943144,Aileron_L,1,Aileron_L,-0.00658206624177948,-0.3771246161295,-0.793197252326504,-45.4468548796821,ok
1528618,6.47892011999998,6.4943144,Aileron_R,2,Aileron_R,0.00216907869112193,0.124279054433047,0.374318666636019,21.4468797912083,ok
1528618,6.47892011999998,6.4943144,Rudder,3,Rudder,-0.0758285120836231,-4.34465370914837,-4.69849876082736,-269.204149042855,ok
1528618,6.47892011999998,6.4943144,Elevator,4,Elevator,-0.0130054239638366,-0.745155903906141,0.646199392221118,37.024497898189,ok
1528620,6.49116564249969,6.5061771,Aileron_L,1,Aileron_L,-0.00595008933785746,-0.340915006785023,0.0516088148902686,2.95696727888431,ok
1528620,6.49116564249969,6.5061771,Aileron_R,2,Aileron_R,0.0154595540856191,0.8857672022602,1.08533346738079,62.185027045219,ok
1528620,6.49116564249969,6.5061771,Rudder,3,Rudder,0.00600019456266132,0.343785824697838,6.68233688258207,382.86970065656,ok
1528620,6.49116564249969,6.5061771,Elevator,4,Elevator,-0.0107945254125328,-0.618480747984842,0.180547506352355,10.3446101156013,ok
1528622,6.50084870999991,6.5168996,Aileron_L,1,Aileron_L,0.0105408273466994,0.603944919541955,1.7030674095983,97.5785747962607,ok
1528622,6.50084870999991,6.5168996,Aileron_R,2,Aileron_R,-0.00758153831259989,-0.434390147528709,-2.37952409168966,-136.336687703518,ok
1528622,6.50084870999991,6.5168996,Rudder,3,Rudder,-0.0204751381077513,-1.17313899852163,-2.73418858949651,-156.657466570978,ok
1528622,6.50084870999991,6.5168996,Elevator,4,Elevator,-0.013424292334077,-0.76915529369244,-0.27158407410522,-15.5606212291973,ok
