split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
all,aileron,0.2,peak_p_rad_s,6,6,-0.5525316705,0.1664606626,-0.3594961665,-0.1930355039,-0.07507752342,0.7535652096,-0.4143213665,0.3392438431,0.05482519996,-0.532279347
all,aileron,0.2,p_impulse_rad,6,6,-0.1940761314,0.04801247783,-0.1210443046,-0.07303182681,-0.04268040295,0.3330612559,-0.1878708294,0.1451904265,0.0668265248,-0.2182222533
all,aileron,0.2,phi_change_deg,6,6,-12.75827875,-2.800998089,-4.978640333,-7.779638421,-10.84333089,7.483244905,-9.163287895,-1.68004299,4.184647562,-6.099595431
all,aileron,0.2,yaw_coupling_psi_change_deg,6,6,6.479228445,7.228541738,-0.3746566468,6.853885091,10.01076672,1.713663963,4.148551376,5.862215339,-4.523208023,0.9916697524
all,aileron,0.2,response_dy_m,6,6,0.0457172194,0.04249963508,0.00160879216,0.04410842724,-0.08265310319,-0.2075530632,0.06244998001,-0.1451030832,-0.06084118785,0.1892115104
all,aileron,0.4,peak_p_rad_s,6,6,-0.811139094,0.3386551455,-0.5748971197,-0.2362419743,-0.7338902588,1.080762001,-0.9073261301,0.1734358713,0.3324290104,-0.4096778456
all,aileron,0.4,p_impulse_rad,6,6,-0.3413325856,0.0996814531,-0.2205070193,-0.1208255662,-0.3160252028,0.4642416036,-0.3901334032,0.0741082004,0.1696263839,-0.1949337666
all,aileron,0.4,phi_change_deg,6,6,-23.26140998,2.29813363,-12.7797718,-10.48163817,-24.18564407,15.46868346,-19.82716377,-4.358480303,7.047391963,-6.12315787
all,aileron,0.4,yaw_coupling_psi_change_deg,6,6,11.3538464,7.864812595,1.744516905,9.6093295,14.29109883,-3.079538168,8.685318498,5.60578033,-6.940801593,4.00354917
all,aileron,0.4,response_dy_m,6,6,0.004969497154,-0.04230829708,0.02363889712,-0.01866939996,-0.1420827141,-0.1452459181,0.001581601972,-0.1436643161,0.02205729514,0.1249949161
all,aileron,0.6,peak_p_rad_s,6,6,-1.096909849,-0.02890336803,-0.5340032405,-0.5629066085,-1.209982,1.359142356,-1.284562178,0.07458017805,0.7505589373,-0.6374867866
all,aileron,0.6,p_impulse_rad,6,6,-0.5033671413,0.02183034246,-0.2625987419,-0.2407683994,-0.5378284629,0.5989349982,-0.5683817305,0.03055326761,0.3057829887,-0.271321667
all,aileron,0.6,phi_change_deg,6,6,-29.84549753,4.689486303,-17.26749192,-12.57800562,-36.89959321,23.85184497,-30.37571909,-6.523874116,13.10822717,-6.054131499
all,aileron,0.6,yaw_coupling_psi_change_deg,6,6,10.60085115,7.543734087,1.52855853,9.072292617,17.02963158,-6.842770275,11.93620093,5.093430652,-10.4076424,3.978861965
all,aileron,0.6,response_dy_m,6,6,-0.1923396395,-0.2362928852,0.02197662289,-0.2143162623,0.2190087206,-0.005713771884,0.1123612462,0.1066474744,-0.09038462335,-0.3209637367
all,aileron,0.8,peak_p_rad_s,6,5,-1.618643071,0.269701181,-0.9441721259,-0.6744709449,-1.420118563,1.679934841,-1.550026702,0.1299081391,0.6058545759,-0.804379084
all,aileron,0.8,p_impulse_rad,6,5,-0.5853678247,0.1379210711,-0.3616444479,-0.2237233768,-0.559702438,0.6834666537,-0.6215845459,0.06188210788,0.259940098,-0.2856054847
all,aileron,0.8,phi_change_deg,6,5,-31.9386878,10.98839427,-21.46354104,-10.47514676,-39.39846025,33.10872785,-36.25359405,-3.144866203,14.79005301,-7.330280558
all,aileron,0.8,yaw_coupling_psi_change_deg,6,5,18.22064447,11.87082994,3.174907267,15.04573721,24.15066471,-13.58038497,18.86552484,5.285139868,-15.69061757,9.76059734
all,aileron,0.8,response_dy_m,6,5,-0.06038045636,-0.37589776,0.1577586518,-0.2181391082,-0.1079395343,0.01688234082,-0.06241093757,-0.04552859675,0.2201695894,-0.1726105114
all,aileron,1,peak_p_rad_s,6,6,-1.50546774,0.9347139306,-1.220090835,-0.2853769045,-1.896079318,2.122816496,-2.009447907,0.1133685888,0.789357072,-0.3987454932
all,aileron,1,p_impulse_rad,6,6,-0.5357296364,0.3153702525,-0.4255499444,-0.110179692,-0.7561886171,0.8525942998,-0.8043914585,0.04820284135,0.378841514,-0.1583825333
all,aileron,1,phi_change_deg,6,6,-33.21388573,14.65647799,-23.93518186,-9.27870387,-49.68285334,30.9595406,-40.32119697,-9.361656369,16.38601511,0.08295249832
