group,split,surface_axis,command_abs,replay_count,high_confidence_count,medium_confidence_count,low_confidence_count,mean_launch_confidence_score,mean_launch_lateral_contamination_score,primary_metric,all_abs_antisym_residual,high_confidence_abs_antisym_residual,confidence_weighted_abs_antisym_residual,high_minus_all_abs_residual,weighted_minus_all_abs_residual,replay_dx_mae_m,replay_dy_mae_m,replay_altitude_loss_mae_m
all,all,all,all,174,139,35,0,0.8246298746,0.3490437321,mean_primary,0.3562221274,0.409678206,0.3484423716,0.05345607862,-0.007779755833,0.2697988946,0.5001730059,0.2082219058
aileron,all,aileron,all,59,39,20,0,0.7859042592,0.3950302727,peak_p_rad_s,0.5066049591,0.6768645111,0.519659042,0.170259552,0.01305408294,0.4154975386,0.5363024883,0.2972047928
aileron_0.2,all,aileron,0.2,12,10,2,0,0.8085943917,0.3703229708,peak_p_rad_s,0.05482519996,0.1773212823,0.06669352369,0.1224960823,0.01186832373,0.3193337983,0.467750059,0.2313857573
aileron_0.4,all,aileron,0.4,12,6,6,0,0.7713957391,0.4106369151,peak_p_rad_s,0.3324290104,0.5132897917,0.3445154356,0.1808607814,0.01208642526,0.3424159484,0.411000676,0.2808859263
aileron_0.6,all,aileron,0.6,12,9,3,0,0.7978018504,0.3800051454,peak_p_rad_s,0.7505589373,0.953740807,0.7870388802,0.2031818697,0.03647994292,0.5398151665,0.6545484045,0.3794055782
aileron_0.8,all,aileron,0.8,11,7,4,0,0.7643025006,0.4214508365,peak_p_rad_s,0.6058545759,0.9797300398,0.6101346632,0.3738754639,0.004280087349,0.3916056794,0.5354332585,0.3179642341
aileron_1,all,aileron,1,12,7,5,0,0.7856266676,0.3949372094,peak_p_rad_s,0.789357072,0.7602406346,0.7899127075,-0.0291164375,0.0005556354389,0.482326112,0.6127076076,0.2781124214
elevator,all,elevator,all,57,49,8,0,0.8437954099,0.3249926134,peak_q_rad_s,0.3025118689,0.3002622206,0.268409219,-0.002249648239,-0.03410264985,0.1617688002,0.4704276506,0.1724848265
elevator_0.2,all,elevator,0.2,12,11,1,0,0.8505546849,0.3203287291,peak_q_rad_s,0.5966877627,0.6900563923,0.564875846,0.09336862957,-0.03181191676,0.1925244093,0.4750485817,0.2137652786
elevator_0.4,all,elevator,0.4,11,9,2,0,0.8317441568,0.3377752802,peak_q_rad_s,0.3524336201,0.2894030712,0.3331870756,-0.06303054884,-0.01924654443,0.1947829091,0.5107699415,0.1895048631
