candidate_id,split,surface_axis,alpha_regime,command_abs,replay_count,positive_count,negative_count,mean_actual_max_abs_alpha_deg,max_actual_max_abs_alpha_deg,mean_actual_alpha_gt_20_s,mean_actual_alpha_gt_30_s,dx_mae_m,dy_mae_m,altitude_loss_mae_m,final_phi_mae_deg,final_theta_mae_deg,final_psi_mae_deg,primary_metric,actual_antisymmetric_response,sim_antisymmetric_response,primary_antisym_residual,claim_boundary
C0_frozen_neutral,all,aileron,normal,0.2,1,1,0,13.340204,13.340204,0,0,0.269456407,0.7407783324,0.4413968204,8.909997737,7.347573417,0.4582075505,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,normal,0.4,1,1,0,12.80680482,12.80680482,0,0,0.7133473641,0.800479,0.8994943318,28.12821882,14.18364611,3.493518931,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,normal,0.6,1,1,0,12.91606358,12.91606358,0,0,0.8487929988,0.06208994087,0.8975511406,38.52247057,12.9245347,11.23427741,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,normal,0.8,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,normal,1,1,1,0,13.08084589,13.08084589,0,0,1.007099392,0.4772384681,1.432194586,87.23429617,20.92955996,3.80196893,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,transition,0.2,8,4,4,15.48397723,16.48967582,0,0,0.4160751662,0.3277882699,0.2640790343,14.30525204,5.854351443,9.876783711,peak_p_rad_s,-0.3619578573,-0.4287813213,0.06682346401,frozen active calibrated replay
C0_frozen_neutral,all,aileron,transition,0.4,6,3,3,16.61384393,17.83620197,0,0,0.205039571,0.2714266582,0.1762729092,10.03849415,3.424917216,29.45359216,peak_p_rad_s,-1.033752886,-0.8636899272,0.1700629586,frozen active calibrated replay
C0_frozen_neutral,all,aileron,transition,0.6,3,3,0,15.54433248,17.55448363,0,0,0.5887396858,0.41997256,0.5770766861,29.23922473,6.107537049,23.45049626,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,transition,0.8,2,2,0,16.01308953,17.13882528,0,0,0.6927933329,0.1779239063,0.6239464543,51.54046222,1.640597712,7.627012371,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,transition,1,5,2,3,16.32992496,17.62004546,0,0,0.3918242257,0.5647402012,0.1287505073,30.01915987,21.19339654,71.37548448,peak_p_rad_s,-1.38258207,-2.050612781,0.6680307108,frozen active calibrated replay
C0_frozen_neutral,all,aileron,post_stall,0.2,3,1,2,19.91226382,21.35463821,0.1100105,0,0.07798261432,0.7499720722,0.0741999977,4.855560994,3.436523107,13.33825246,peak_p_rad_s,-0.3768338822,-0.2396345655,0.1371993166,frozen active calibrated replay
C0_frozen_neutral,all,aileron,post_stall,0.4,5,2,3,20.71563934,26.27708717,0.09949802,0,0.4330813181,0.5005938325,0.2826998656,20.95453738,5.99177498,24.60449243,peak_p_rad_s,-0.009460207525,-0.9766695515,0.967209344,frozen active calibrated replay
C0_frozen_neutral,all,aileron,post_stall,0.6,8,2,6,23.93592728,37.6464996,0.1192816375,0.0123094875,0.4828462427,0.8165716541,0.2405107175,27.17942163,7.10691395,47.14867823,peak_p_rad_s,-0.8772462249,-1.312673688,0.4354274635,frozen active calibrated replay
C0_frozen_neutral,all,aileron,post_stall,0.8,9,4,5,27.95418783,52.49679849,0.1430501333,0.04640677778,0.3246750898,0.6148797812,0.2499681851,23.85279986,16.10086542,53.26153285,peak_p_rad_s,-0.9455928665,-1.542625999,0.5970331323,frozen active calibrated replay
C0_frozen_neutral,all,aileron,post_stall,1,6,3,3,27.5236961,32.66766067,0.162727,0.009069200001,0.4702821372,0.6752586363,0.2102336558,24.42600279,17.03188857,72.39708947,peak_p_rad_s,-0.9928037341,-1.851217817,0.858414083,frozen active calibrated replay
C0_frozen_neutral,all,elevator,normal,0.2,2,0,2,11.80081393,12.97407252,0,0,0.5379521787,0.327458132,0.9036306225,13.98613356,22.34176665,8.246430578,peak_q_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,elevator,normal,0.4,1,0,1,13.05082596,13.05082596,0,0,0.4861473692,0.117646465,1.289124138,11.26142669,33.84668619,7.904281755,peak_q_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,elevator,normal,0.6,1,0,1,12.8628943,12.8628943,0,0,0.1290301543,0.02071489298,0.2188033041,11.3232229,16.7965616,4.26314288,peak_q_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,elevator,normal,0.8,1,0,1,13.18350578,13.18350578,0,0,0.1177921878,0.3598889457,0.4217854303,2.238830782,31.6750574,0.4389739306,peak_q_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,elevator,normal,1,3,0,3,13.31397604,13.85745206,0,0,0.05787050211,0.161712944,0.4078088044,12.03950025,25.34989421,5.428281162,peak_q_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,elevator,transition,0.2,3,0,3,16.9151226,17.22808784,0,0,0.02823838367,0.3835585882,0.04044510608,8.561135356,4.102815198,10.36696295,peak_q_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,elevator,transition,0.4,3,0,3,15.57309416,16.41312154,0,0,0.1365342265,0.3206275793,0.09633232258,11.02548986,12.02516639,7.194942589,peak_q_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,elevator,transition,0.6,5,0,5,15.42933873,16.50143866,0,0,0.09846836248,0.6303841932,0.1100211175,9.935906763,15.84290254,4.395355044,peak_q_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,elevator,transition,0.8,5,0,5,15.74914556,16.93376924,0,0,0.07895832165,0.4818151991,0.22180956,10.22570715,22.65473816,3.021139663,peak_q_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,elevator,transition,1,2,0,2,16.48177687,17.20040844,0,0,0.06459769057,0.3222341185,0.2240152845,10.93442263,14.14884637,7.702296964,peak_q_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,elevator,post_stall,0.2,7,6,1,21.28778569,24.1932818,0.1479889857,0,0.1642390575,0.5564272788,0.09094096851,8.229064718,10.60568088,10.09584914,peak_q_rad_s,0.04820943434,0.8911291159,0.8429196816,frozen active calibrated replay
C0_frozen_neutral,all,elevator,post_stall,0.4,7,6,1,23.69953274,29.68919041,0.3415167429,0,0.1781231359,0.648420022,0.07234748401,9.049893787,17.81687654,5.549876693,peak_q_rad_s,0.1865771995,1.003299713,0.8167225133,frozen active calibrated replay
