candidate_id,split,surface_axis,replay_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,final_phi_mae_deg,final_theta_mae_deg,final_psi_mae_deg,primary_antisym_residual,claim_boundary
C0_frozen_neutral,all,all,174,0.2697988946,0.5001730059,0.2082219058,15.75872352,11.88356893,18.10555985,0.3562221274,frozen active calibrated replay
C0_frozen_neutral,all,aileron,59,0.4154975386,0.5363024883,0.2972047928,23.32827663,10.07734397,36.7994866,0.5066049591,frozen active calibrated replay
C0_frozen_neutral,all,elevator,57,0.1617688002,0.4704276506,0.1724848265,9.808634863,19.2334758,7.097884647,0.3025118689,frozen active calibrated replay
C0_frozen_neutral,all,rudder,58,0.2277557118,0.4926531059,0.1528257538,13.90616179,6.497751365,9.907211725,0.2595495542,frozen active calibrated replay
C0_frozen_neutral,train,all,144,0.2664782053,0.5129695561,0.2139199401,15.94186616,11.74665606,17.69447077,0.4233636852,frozen active calibrated replay
C0_frozen_neutral,train,aileron,49,0.4025140143,0.569285477,0.299390403,23.61227022,10.20147946,34.92909881,0.5334458162,frozen active calibrated replay
C0_frozen_neutral,train,elevator,47,0.1716646246,0.477347776,0.185453766,9.834534728,19.05532737,7.564401751,0.4298015706,frozen active calibrated replay
C0_frozen_neutral,train,rudder,48,0.2204466146,0.4903600466,0.1545419714,14.09175738,6.167616506,10.01981391,0.3068436686,frozen active calibrated replay
C0_frozen_neutral,heldout,all,30,0.2857382037,0.4387495651,0.1808713408,14.87963882,12.54075072,20.07878742,0.4495042335,frozen active calibrated replay
C0_frozen_neutral,heldout,aileron,10,0.4791168077,0.3746858439,0.2864953028,21.93670801,9.469080087,45.96438674,0.4105217331,frozen active calibrated replay
C0_frozen_neutral,heldout,elevator,10,0.1152584254,0.4379030611,0.1115308106,9.686905495,20.07077339,4.905254259,0.5791411209,frozen active calibrated replay
C0_frozen_neutral,heldout,rudder,10,0.2628393782,0.5036597904,0.144587909,13.01530296,8.082398685,9.366721259,0.3588498464,frozen active calibrated replay
SCL_aileron_s0p65,all,all,174,0.2576598692,0.4984473658,0.1929818899,11.76838773,10.79563716,15.10513836,0.2349732172,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p65,all,aileron,59,0.3796977007,0.5312133122,0.2522596614,11.56016771,6.868867214,27.95078592,0.1428582285,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p65,all,elevator,57,0.1617688002,0.4704276506,0.1724848265,9.808634863,19.2334758,7.097884647,0.3025118689,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p65,all,rudder,58,0.2277557118,0.4926531059,0.1528257538,13.90616179,6.497751365,9.907211725,0.2595495542,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p65,train,all,144,0.2560782082,0.5109149584,0.1983370548,11.91848333,10.55411996,14.76772731,0.3162403687,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p65,train,aileron,49,0.3719507576,0.5632474757,0.2535958012,11.7884513,6.696883587,26.32805678,0.212075867,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p65,train,elevator,47,0.1716646246,0.477347776,0.185453766,9.834534728,19.05532737,7.564401751,0.4298015706,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p65,train,rudder,48,0.2204466146,0.4903600466,0.1545419714,14.09175738,6.167616506,10.01981391,0.3068436686,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p65,heldout,all,30,0.2652518417,0.438602921,0.1672770987,11.04792886,11.95491969,16.7247114,0.4210320246,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p65,heldout,aileron,10,0.4176577216,0.3742459114,0.2457125765,10.44157814,7.711586985,35.90215869,0.3251051065,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p65,heldout,elevator,10,0.1152584254,0.4379030611,0.1115308106,9.686905495,20.07077339,4.905254259,0.5791411209,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p65,heldout,rudder,10,0.2628393782,0.5036597904,0.144587909,13.01530296,8.082398685,9.366721259,0.3588498464,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p7,all,all,174,0.259169307,0.4987413234,0.1949280624,12.25244568,10.88316816,15.5733937,0.2506262136,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p7,all,aileron,59,0.3841492632,0.532080238,0.2579992207,12.98772843,7.127009506,29.33174236,0.1898172176,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p7,all,elevator,57,0.1617688002,0.4704276506,0.1724848265,9.808634863,19.2334758,7.097884647,0.3025118689,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p7,all,rudder,58,0.2277557118,0.4926531059,0.1528257538,13.90616179,6.497751365,9.907211725,0.2595495542,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p7,train,all,144,0.2572407293,0.5113449547,0.2003657727,12.41661631,10.67139543,15.21921669,0.3161821178,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p7,train,aileron,49,0.3753671462,0.5645111381,0.2595577477,13.25235229,7.041529857,27.65488272,0.2119011141,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p7,train,elevator,47,0.1716646246,0.477347776,0.185453766,9.834534728,19.05532737,7.564401751,0.4298015706,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p7,train,rudder,48,0.2204466146,0.4903600466,0.1545419714,14.09175738,6.167616506,10.01981391,0.3068436686,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p7,heldout,all,30,0.26842648,0.4382438928,0.1688270528,11.46442666,11.89967729,17.27344337,0.4236140027,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p7,heldout,aileron,10,0.4271816365,0.373168827,0.2503624386,11.69107152,7.545859786,37.54835458,0.3328510407,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p7,heldout,elevator,10,0.1152584254,0.4379030611,0.1115308106,9.686905495,20.07077339,4.905254259,0.5791411209,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p7,heldout,rudder,10,0.2628393782,0.5036597904,0.144587909,13.01530296,8.082398685,9.366721259,0.3588498464,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p75,all,all,174,0.2607178656,0.4990484893,0.1969778254,12.77973254,11.01936659,16.02346949,0.2686401512,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
SCL_aileron_s0p75,all,aileron,59,0.3887161988,0.5329861172,0.2640442847,14.54277782,7.528679429,30.65908453,0.2438590306,surface-effectiveness scalar control_mix replay; eligible only through held-out promotion gate
