candidate_id,status,promoted,delta_a_effectiveness_scale,delta_e_effectiveness_scale,delta_r_effectiveness_scale,delta_a_neutral_bias_rad,delta_e_neutral_bias_rad,delta_r_neutral_bias_rad,aileron_left_right_asymmetry,actuator_time_constant_scale,command_delay_offset_s,evidence_summary,claim_boundary
S0_frozen_neutral,evaluated_frozen_active_calibrated_model,False,1,1,1,0,0,0,1,1,0,baseline replay only; no surface update,residual-calibrated replay alignment only
S1_surface_effectiveness_scales,not_run_disabled_by_cli,False,,,,,,,,,,disabled_by_cli,diagnostic only; no model update
S2_scales_plus_neutral_biases,not_run_disabled_by_cli,False,,,,,,,,,,disabled_by_cli,diagnostic only; no model update
P1_pairwise_aileron_gain,diagnostic_pairwise_response_gain_replay_not_promoted,False,0.6519483305,,,0,0,0,1,1,0,pairwise +/- antisymmetric response gain replay; active model unchanged,diagnostic response-gain replay only; no checked-in model change
P2_pairwise_elevator_gain,diagnostic_pairwise_response_gain_replay_not_promoted,False,,0.7150450378,,0,0,0,1,1,0,pairwise +/- antisymmetric response gain replay; active model unchanged,diagnostic response-gain replay only; no checked-in model change
P3_pairwise_rudder_gain,diagnostic_pairwise_response_gain_replay_not_promoted,False,,,0.6450713472,0,0,0,1,1,0,pairwise +/- antisymmetric response gain replay; active model unchanged,diagnostic response-gain replay only; no checked-in model change
P4_pairwise_all_surface_gains,diagnostic_pairwise_response_gain_replay_not_promoted,False,0.6519483305,0.7150450378,0.6450713472,0,0,0,1,1,0,pairwise +/- antisymmetric response gain replay; active model unchanged,diagnostic response-gain replay only; no checked-in model change
D0_launch_confidence_weighted_derivative_fit_basis,diagnostic_derivative_level_fit_not_promoted,False,,,,0,0,0,1,1,0,confidence-weighted derivative-level residual force/moment fit; held-out derivative residual improved 16/21 coefficients,diagnostic surface-aero/coupling derivative estimate; no checked-in model change
S3_evidence_gated_surface_effectiveness_scales,accepted_evidence_gated_surface_effectiveness_scales,True,0.65,0.7,0.45,0,0,0,,,,aileron selected 0.65; elevator selected 0.7; rudder selected 0.45,"surface-effectiveness scalar replay gate only; no derivative, schedule, command conversion, or hardware mapping change"
M0_active_surface_aero_effectiveness_scale,active_evidence_gated_surface_effectiveness_scales,True,1,0.6,0.531,0,0,0,,,,"active evidence-gated aero effectiveness scales: elevator, rudder",surface effectiveness replay alignment only; no broad aero or lateral/coupling SysID
