split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
train,rudder,0.4,r_impulse_rad,4,5,0.2629468774,0.0866394515,,0.1747931645,0.1976534213,-0.06761180084,,0.06502081021,,0.1097723543
train,rudder,0.4,psi_change_deg,4,5,13.24896728,1.598023899,,7.423495591,15.59736501,-2.057214468,,6.77007527,,0.6534203215
train,rudder,0.4,roll_coupling_phi_change_deg,4,5,-11.76279318,-22.6890018,,-17.22589749,-4.635206176,-2.252327167,,-3.443766671,,-13.78213082
train,rudder,0.4,response_dy_m,4,5,-0.1489844341,-0.1163196365,,-0.1326520353,0.1044166589,0.01195096146,,0.05818381021,,-0.1908358455
train,rudder,0.6,peak_r_rad_s,5,5,0.7395267823,0.117667386,,0.4285970842,0.7470786344,-0.6743230072,,0.03637781359,,0.3922192706
train,rudder,0.6,r_impulse_rad,5,5,0.2976065772,0.06207867249,,0.1798426248,0.2612095405,-0.2000114583,,0.03059904109,,0.1492435838
train,rudder,0.6,psi_change_deg,5,5,12.96771367,-0.8521270588,,6.057793305,18.88152831,-6.624717823,,6.128405243,,-0.07061193799
train,rudder,0.6,roll_coupling_phi_change_deg,5,5,-12.73341184,-20.96662936,,-16.8500206,-5.383668684,-2.099018609,,-3.741343646,,-13.10867696
train,rudder,0.6,response_dy_m,5,5,-0.1573113634,-0.1662924008,,-0.1618018821,0.1710737243,0.05712064023,,0.1140971823,,-0.2758990644
train,rudder,0.8,peak_r_rad_s,5,5,0.8486512741,-0.4591264253,,0.1947624244,0.9182311025,-0.8428925973,,0.03766925258,,0.1570931718
train,rudder,0.8,r_impulse_rad,5,5,0.3528324424,-0.03731679218,,0.1577578251,0.3255244017,-0.2523072614,,0.03660857017,,0.121149255
train,rudder,0.8,psi_change_deg,5,5,18.97342769,-5.914275856,,6.529575917,21.09513477,-13.21532718,,3.939903796,,2.589672121
train,rudder,0.8,roll_coupling_phi_change_deg,5,5,-11.09213448,-17.13853248,,-14.11533348,-7.225039581,-2.19037204,,-4.707705811,,-9.407627672
train,rudder,0.8,response_dy_m,5,5,-0.1842755543,-0.05928626097,,-0.1217809076,0.09853773552,-0.0926415193,,0.002948108111,,-0.1247290157
train,rudder,1,peak_r_rad_s,5,5,0.8856152733,-0.119645723,,0.3829847751,1.211591997,-1.023625618,,0.09398318924,,0.2890015859
train,rudder,1,r_impulse_rad,5,5,0.3651506736,0.04834492784,,0.2067478007,0.4231242112,-0.3194058915,,0.05185915983,,0.1548886409
train,rudder,1,psi_change_deg,5,5,15.8410111,-4.356655983,,5.742177558,24.9664248,-18.14839312,,3.40901584,,2.333161719
train,rudder,1,roll_coupling_phi_change_deg,5,5,-5.060677128,-23.21523685,,-14.13795699,-5.488216969,-6.039684334,,-5.763950652,,-8.374006339
train,rudder,1,response_dy_m,5,5,-0.06148560931,-0.1019978934,,-0.08174175134,0.09593552904,-0.1607189387,,-0.03239170483,,-0.04935004651
heldout,aileron,0.2,peak_p_rad_s,1,1,0.3201031002,0.5972607657,,0.458681933,0.5090471642,0.6669474786,,0.5879973214,,-0.1293153884
heldout,aileron,0.2,p_impulse_rad,1,1,-0.04516695971,0.1531603295,,0.05399668491,-0.0278547024,0.3244772552,,0.1483112764,,-0.09431459151
heldout,aileron,0.2,phi_change_deg,1,1,-19.44884772,1.648400082,,-8.900223817,-9.200613266,12.17289768,,1.486142206,,-10.38636602
heldout,aileron,0.2,yaw_coupling_psi_change_deg,1,1,8.879346356,3.936387644,,6.407867,14.09704146,3.207436126,,8.652238795,,-2.244371794
heldout,aileron,0.2,response_dy_m,1,1,-0.08528288556,0.05077395287,,-0.01725446634,0.03355875456,-0.06139667651,,-0.01391896097,,-0.003335505369
heldout,aileron,0.4,peak_p_rad_s,1,1,-0.768337031,1.142395569,,0.1870292689,-0.7142426172,1.078548705,,0.1821530441,,0.004876224809
heldout,aileron,0.4,p_impulse_rad,1,1,-0.2650373979,0.4433114858,,0.08913704399,-0.3194914577,0.4765930623,,0.07855080227,,0.01058624172
heldout,aileron,0.4,phi_change_deg,1,1,-15.38986271,10.43695858,,-2.476452067,-27.03719613,12.43111882,,-7.303038655,,4.826586588
