fan_branch,W_layer,primitive_family,latency_case,entry_source,outcome_class,evidence_role,feedback_mode,row_count,cluster_count,cluster_strategy
four_fan_branch,W0,energy_retaining_bank,nominal,diagnostic_broad_only,accepted,partial_feedback,instant_state_feedback,1,1,rank_cases_no_clustering
four_fan_branch,W0,energy_retaining_bank,nominal,diagnostic_broad_only,blocked_partial,blocked_partial,unavailable,232,3,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,energy_retaining_bank,nominal,diagnostic_broad_only,diagnostic_rollout_failed,ablation_diagnostic,open_loop,669,3,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,energy_retaining_bank,nominal,diagnostic_broad_only,diagnostic_rollout_success,ablation_diagnostic,open_loop,188,3,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,energy_retaining_bank,nominal,diagnostic_broad_only,rejected,partial_feedback,instant_state_feedback,624,3,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,energy_retaining_bank,nominal,launch_gate_main,accepted,partial_feedback,instant_state_feedback,144,3,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,energy_retaining_bank,nominal,launch_gate_main,blocked_partial,blocked_partial,unavailable,1672,5,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,energy_retaining_bank,nominal,launch_gate_main,diagnostic_rollout_failed,ablation_diagnostic,open_loop,2205,5,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,energy_retaining_bank,nominal,launch_gate_main,diagnostic_rollout_success,ablation_diagnostic,open_loop,3795,5,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,energy_retaining_bank,nominal,launch_gate_main,failed,partial_feedback,instant_state_feedback,3,1,rank_cases_no_clustering
four_fan_branch,W0,energy_retaining_bank,nominal,launch_gate_main,rejected,partial_feedback,instant_state_feedback,4181,5,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,energy_retaining_bank,nominal,local_robustness_shell,accepted,partial_feedback,instant_state_feedback,13,1,rank_cases_no_clustering
four_fan_branch,W0,energy_retaining_bank,nominal,local_robustness_shell,blocked_partial,blocked_partial,unavailable,493,3,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,energy_retaining_bank,nominal,local_robustness_shell,diagnostic_rollout_failed,ablation_diagnostic,open_loop,951,3,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,energy_retaining_bank,nominal,local_robustness_shell,diagnostic_rollout_success,ablation_diagnostic,open_loop,764,3,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,energy_retaining_bank,nominal,local_robustness_shell,failed,partial_feedback,instant_state_feedback,7,1,rank_cases_no_clustering
four_fan_branch,W0,energy_retaining_bank,nominal,local_robustness_shell,rejected,partial_feedback,instant_state_feedback,1202,5,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,glide,nominal,diagnostic_broad_only,accepted,partial_feedback,instant_state_feedback,1,1,rank_cases_no_clustering
four_fan_branch,W0,glide,nominal,diagnostic_broad_only,blocked_partial,blocked_partial,unavailable,232,3,deterministic_robust_scaled_medoid_fallback
four_fan_branch,W0,glide,nominal,diagnostic_broad_only,diagnostic_rollout_failed,ablation_diagnostic,open_loop,670,3,deterministic_robust_scaled_medoid_fallback
