cluster_id,medoid_sample_id,primitive_id,fan_branch,W_layer,latency_case,entry_source,outcome_class,primitive_family,dwell_time_s,energy_residual_m,minimum_margin_m,exit_speed_m_s,failure_label,recommended_use,is_medoid,controller_mode,feedback_mode,claim_status,evidence_role,governor_package_status
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=launch_gate_main|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260523_four_fan_branch_W1_002812,fg_20260523_four_fan_branch_W1_002812__W0__energy_retaining_bank,four_fan_branch,W0,nominal,launch_gate_main,accepted,energy_retaining_bank,0.0,-0.3915086587565675,0.11596308047,6.969274453929386,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback,candidate_summary_only_governor_still_required
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=launch_gate_main|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c01,fg_20260523_four_fan_branch_W1_002657,fg_20260523_four_fan_branch_W1_002657__W0__energy_retaining_bank,four_fan_branch,W0,nominal,launch_gate_main,accepted,energy_retaining_bank,0.0,-0.2639331945803782,0.0991665021800001,5.700971682914604,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback,candidate_summary_only_governor_still_required
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=launch_gate_main|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c02,fg_20260523_four_fan_branch_W1_000232,fg_20260523_four_fan_branch_W1_000232__W0__energy_retaining_bank,four_fan_branch,W0,nominal,launch_gate_main,accepted,energy_retaining_bank,0.0,-0.3952951515833844,0.0876338861700001,7.020144608466812,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback,candidate_summary_only_governor_still_required
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260523_four_fan_branch_W1_006094,fg_20260523_four_fan_branch_W1_006094__W0__energy_retaining_bank,four_fan_branch,W0,nominal,local_robustness_shell,accepted,energy_retaining_bank,0.0,-0.384145784971122,0.1277239883100001,6.843082491673768,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback,candidate_summary_only_governor_still_required
fan_branch=four_fan_branch|W_layer=W0|primitive_family=glide|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260523_four_fan_branch_W1_006974,fg_20260523_four_fan_branch_W1_006974__W0__glide,four_fan_branch,W0,nominal,local_robustness_shell,accepted,glide,0.0,-0.3670143993140171,0.25179357812,6.742389893733513,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback,candidate_summary_only_governor_still_required
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_dwell_arc|latency_case=nominal|entry_source=launch_gate_main|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260523_four_fan_branch_W1_002812,fg_20260523_four_fan_branch_W1_002812__W0__lift_dwell_arc,four_fan_branch,W0,nominal,launch_gate_main,accepted,lift_dwell_arc,0.6,-0.3915086587565675,0.11596308047,6.969274453929386,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback,candidate_summary_only_governor_still_required
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_dwell_arc|latency_case=nominal|entry_source=launch_gate_main|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c01,fg_20260523_four_fan_branch_W1_002657,fg_20260523_four_fan_branch_W1_002657__W0__lift_dwell_arc,four_fan_branch,W0,nominal,launch_gate_main,accepted,lift_dwell_arc,0.6,-0.2639331945803782,0.0991665021800001,5.700971682914604,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback,candidate_summary_only_governor_still_required
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_dwell_arc|latency_case=nominal|entry_source=launch_gate_main|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c02,fg_20260523_four_fan_branch_W1_000232,fg_20260523_four_fan_branch_W1_000232__W0__lift_dwell_arc,four_fan_branch,W0,nominal,launch_gate_main,accepted,lift_dwell_arc,0.6,-0.3952951515833844,0.0876338861700001,7.020144608466812,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback,candidate_summary_only_governor_still_required
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_dwell_arc|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260523_four_fan_branch_W1_006094,fg_20260523_four_fan_branch_W1_006094__W0__lift_dwell_arc,four_fan_branch,W0,nominal,local_robustness_shell,accepted,lift_dwell_arc,0.6,-0.384145784971122,0.1277239883100001,6.843082491673768,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback,candidate_summary_only_governor_still_required
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_entry|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260523_four_fan_branch_W1_006974,fg_20260523_four_fan_branch_W1_006974__W0__lift_entry,four_fan_branch,W0,nominal,local_robustness_shell,accepted,lift_entry,0.6,-0.3670143993140171,0.25179357812,6.742389893733513,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback,candidate_summary_only_governor_still_required
