split,session_label,calibration_profile_hash,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,replay_status,replay_policy,replay_dt_s,replay_command_source,actual_termination_group,sim_first_exit_reason,sim_first_exit_time_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,actual_x_end_m,actual_y_end_m,actual_z_end_m,sim_x_end_m,sim_y_end_m,sim_z_end_m,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_glide_ratio_x_over_altloss,sim_glide_ratio_x_over_altloss,glide_ratio_residual_actual_minus_sim,actual_final_phi_deg,sim_final_phi_deg,actual_final_theta_deg,sim_final_theta_deg,actual_final_psi_deg,sim_final_psi_deg,max_abs_sim_phi_deg,max_abs_sim_theta_deg,max_abs_sim_p_rad_s,max_abs_sim_q_rad_s,max_abs_sim_r_rad_s
heldout,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v001,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.085,1.6790482,1.40596562,2.201857593,1.610490045,6.434561017,2.250159636,-0.03391812724,0.4550470831,0.9910534846,-1.259668752,8.390414807,0.8448968863,-6.02992413,5.927079753,3.435220393,0.385102216,7.593382749,4.111210028,0.6629241464,4.521114132,6.187417129,-1.666302997,1.2333628,1.909352435,-0.6759896356,1.225387829,0.9475658986,0.2778219304,0.72981099,0.5643470501,0.1654639399,3.689537324,6.529801397,-2.840264073,54.1163167,10.41312755,-29.06220453,31.00941981,0.6891936255,29.94998328,13.79531316,31.00941981,0.9064189432,0.9910534846,1.470258232
train,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v002,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,1.06,1.4039163,1.258443945,2.115609882,1.619402072,5.791858327,0.1522210924,-0.5122623078,0.8250010066,-0.2673089577,-0.5700517573,4.345737539,-8.971805131,7.537325824,6.610438375,2.894930679,0.739510033,7.932142734,3.581915851,0.3444212073,5.35199443,6.67369879,-1.32170436,0.7793207976,1.466305969,-0.6869851718,0.8798920387,1.274980864,-0.3950888256,0.6267410947,0.908160169,-0.2814190744,6.08255808,5.23435212,0.8482059607,2.508813611,3.506510901,-7.785842867,17.30658952,-12.61622253,16.97324692,5.617088826,17.30658952,0.8250010066,0.9687062862,0.5700517573
train,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,1.01,1.5527587,1.315749792,2.161881813,1.62434138,6.133186859,1.090146083,-0.3841901056,0.1648480125,-0.3911242023,-1.534279713,1.748980134,-6.602066946,0.07858523574,6.601986653,4.172701406,0.5038975579,8.414648097,2.361143901,0.482633836,5.286236861,7.098898305,-1.812661444,2.010819592,0.199262088,1.811557504,1.120443822,1.141707544,-0.02126372193,0.7215827044,0.7352768618,-0.01369415733,4.717984745,6.217790486,-1.49980574,23.43190799,-17.04682791,-26.97597145,19.79998381,-42.28702233,-21.67053119,17.04682791,19.79998381,0.6331895236,0.9019148608,1.534279713
train,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.27,1.6164924,1.289424354,2.180532599,1.604553654,5.942449938,0.9246731213,0.07340901989,0.5080515074,0.8704264238,-0.2761135805,-0.8259189978,-0.6300084772,-1.49828714,6.214737658,3.192346876,0.3964261434,7.143679385,2.761282665,0.3970710853,4.925313304,5.854255031,-0.9289417267,1.011814278,0.5807500667,0.4310642109,1.208127511,1.207482569,0.0006449418817,0.7473759301,0.7469769539,0.0003989761299,4.076815783,4.84831432,-0.7714985374,-1.345594094,-2.47885671,-21.31486811,29.45434008,-28.76846849,1.212061742,3.023197819,29.45434008,0.5080515074,0.8704264238,0.5876941775
heldout,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.16,1.6165648,1.267957436,2.110185901,1.552269281,5.945451409,2.046324699,0.0415171476,0.4237840377,0.5803133161,-1.639915228,0.4719993734,-4.050991111,-8.149144805,6.406231333,4.163512092,0.3891906427,7.422055632,2.239053467,0.4432194684,5.138273897,6.154098196,-1.015824299,2.053326191,0.1288675666,1.924458625,1.163078638,1.109049813,0.05402882567,0.7194754199,0.6860534218,0.03342199809,4.417821571,5.548982675,-1.131161104,13.61884809,0.8206673615,-23.16001735,31.88886218,-40.06072816,-2.660878693,13.90360208,31.88886218,0.9449924485,0.772232664,1.639915228
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v001,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,1.05,1.4001084,1.279158047,2.190480706,1.523128114,6.142417162,0.562504236,-0.06774491098,0.3471607,0.1769278904,-1.010685057,6.62735128,-5.037014818,-1.232670535,6.605002223,2.480886105,0.7137017796,7.738365178,2.984566978,0.6174605201,5.325844175,6.459207131,-1.133362955,0.290405399,0.7940862722,-0.5036808732,0.8094263347,0.9056675943,-0.09624125952,0.5781169049,0.6468553394,-0.06873843448,6.579776252,7.131984374,-0.552208122,20.62370713,4.288071189,-21.80679381,22.14710512,-0.3374037699,11.93240401,6.942813384,22.14710512,0.367680008,0.9132148532,1.010685057
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v002,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.07,1.6023639,1.268312514,2.016922051,1.53296913,6.129191941,0.9244988711,-0.5172773739,0.6486085304,0.4159646384,-1.460285466,10.38972607,-4.974055737,-1.820160464,5.772558134,1.792611104,0.3761332299,7.979902401,3.437221118,0.4007757229,4.50424562,6.711589887,-2.207344267,-0.2243109468,1.420299067,-1.644610014,1.1568359,1.132193407,0.02464249296,0.721955793,0.7065769561,0.01537883683,3.893590802,5.927953515,-2.034362713,42.68150748,12.03017929,-7.778893711,24.65524381,35.13254747,25.62563157,12.32283851,24.65524381,0.7991279231,0.8259005437,1.460285466
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.94,1.7022378,1.355268194,2.098155712,1.554322433,6.789668691,0.3939407797,-0.1687264313,0.3635556488,0.1818939921,0.1183881814,-2.627541715,-5.103451236,1.94246753,6.614225466,2.655122822,0.527280452,9.172232108,2.378794141,0.4608968686,5.258957273,7.816963915,-2.558006642,0.5569671094,0.2806384283,0.2763286811,1.027041981,1.093425565,-0.0663835834,0.6033481229,0.6423459546,-0.0389978318,5.120489102,7.149059037,-2.028569935,22.30866354,-5.56496633,-26.03879478,24.9333421,0.5953268888,-5.527099678,5.56496633,24.9333421,0.3635556488,0.8816890596,0.2695383268
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.19,1.3441728,1.400935174,2.190223793,1.566131165,4.863674181,1.473040383,0.1306688423,-0.2943113109,-0.007358309683,-0.919539734,-2.087176841,-6.382245032,-7.411654789,5.85120592,3.315207602,0.3957346631,6.283460988,2.158523779,0.134360732,4.450270746,4.882525814,-0.4322550681,1.12498381,-0.03170001372,1.156683823,1.170396501,1.431770433,-0.2613739311,0.8707187806,1.065168431,-0.1944496505,3.802361628,3.410131752,0.3922298752,-2.196152183,0.6541483359,-16.15052408,23.94885499,-21.39585697,-0.09900257307,11.88907861,23.94885499,0.5910297635,0.9844147353,0.919539734
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.285,1.5734699,1.268387805,2.174118628,1.588063883,5.068636763,2.724129525,-0.3309826881,-0.1057454758,-0.1023913551,-1.663944333,-3.172723662,-3.766807402,-15.91371645,6.371566249,3.770032232,0.3872944312,6.505785669,1.450559766,-0.2312515118,5.103178444,5.237397864,-0.13421942,1.595913604,-0.7235588617,2.319472466,1.200769452,1.819315395,-0.618545943,0.763134682,1.156244168,-0.3931094856,4.24992361,2.878774004,1.371149606,24.18012466,-0.6737342993,-21.29408355,28.0255417,-16.60423903,-12.76389716,23.15315197,28.0255417,1.172309289,0.5868812515,1.663944333
