split,session_label,calibration_profile_hash,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,replay_status,replay_policy,replay_dt_s,alignment_window_s,alignment_elapsed_s,alignment_sample_count,alignment_method,replay_command_source,actual_termination_group,sim_first_exit_reason,sim_first_exit_time_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,actual_x_end_m,actual_y_end_m,actual_z_end_m,sim_x_end_m,sim_y_end_m,sim_z_end_m,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_glide_ratio_x_over_altloss,sim_glide_ratio_x_over_altloss,glide_ratio_residual_actual_minus_sim,actual_final_phi_deg,sim_final_phi_deg,actual_final_theta_deg,sim_final_theta_deg,actual_final_psi_deg,sim_final_psi_deg,max_abs_sim_phi_deg,max_abs_sim_theta_deg,max_abs_sim_p_rad_s,max_abs_sim_q_rad_s,max_abs_sim_r_rad_s
train,20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1838132,11,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,0.8,0.8256906,1.921504587,2.127797722,1.444434873,3.483698162,0.4867692331,1.090943499,-0.09578118508,0.5648777618,0.1337863564,-2.098386693,8.1215352,-6.234749566,4.225237295,2.252575582,0.3895887884,4.110632818,2.166821478,0.3475957329,2.303732708,2.189128232,0.1146044767,0.1247778595,0.03902375588,0.08575410357,1.054846084,1.09683914,-0.04199305548,1.277531904,1.328390004,-0.05085810045,2.183951519,1.995851673,0.1880998467,2.176984028,2.485333896,-12.15752526,21.18834175,-4.42714637,5.446819602,2.61615606,21.18834175,0.1096351135,0.5648777618,0.3080048535
heldout,20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1542253,26,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,0.74,0.9322983,1.9586239,2.267149395,1.308230525,4.33610538,1.625237945,0.7303162495,-0.274152386,0.4805813651,-0.1726923612,4.13155142,-5.137767911,-12.03222495,5.332445831,2.646145412,0.3967577756,5.394236099,2.779090817,0.1442890308,3.37382193,3.435612199,-0.06179026862,0.3789960171,0.5119414223,-0.1329454052,0.9114727494,1.163941494,-0.2524687448,0.9776621382,1.248464675,-0.2708025369,3.701506087,2.951705232,0.7498008546,-7.64891825,7.665943529,-14.75224888,15.42858461,-4.748778573,19.84141114,7.665943529,15.42858461,0.4634666135,0.8265649053,0.9156662136
train,20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1540551,24,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,0.905,0.9197569,1.892848093,2.153511311,1.448337591,4.10376084,1.098946102,0.7832411941,-0.2724639384,0.3425913596,-0.2248109115,0.9068558068,1.576054664,-9.568454086,4.760035907,2.515335191,0.3957866345,4.884085266,2.323486346,0.3695939194,2.867187814,2.991237173,-0.1240493589,0.3618238809,0.1699750355,0.1918488454,1.052550957,1.078743672,-0.02619271512,1.144379517,1.172857384,-0.02847786749,2.724037061,2.77288966,-0.04885259915,-14.49700119,2.412371363,-14.76812189,19.2306055,-9.732013738,7.996270497,5.01300651,19.2306055,0.4476538545,0.6111114943,0.549046148
train,20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C0_neutral,Dry-air open-loop neutral glide characterisation,v006,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1546883,26,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.045,1.1212534,2.074728651,2.285529438,1.339477295,4.915367014,1.694524369,0.9515946533,-0.02769770056,1.106259414,-0.1259983124,6.343599813,7.184275583,-10.68675346,5.823157809,2.57909438,0.3975550019,5.415784368,3.541866721,0.2191691093,3.748429158,3.341055717,0.4073734411,0.2935649422,1.256337282,-0.9627723402,0.9419222931,1.120308186,-0.1783858926,0.8400619281,0.999157002,-0.1590950739,3.979552439,2.982264845,0.9972875939,-3.563416733,29.49338354,-21.82528603,15.50939372,-2.281238115,58.20499071,29.49338354,23.29847747,0.2917627291,1.31551301,1.325430523
train,20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C0_neutral,Dry-air open-loop neutral glide characterisation,v007,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1527587,25,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.115,1.1779255,2.111224752,2.109903279,1.316044668,5.286702512,1.33326455,0.9838711644,-0.1674680459,0.8780947361,-0.231976124,2.694643645,3.228572581,-10.65434503,5.97603541,2.503448094,0.3941130699,5.807106261,2.612205374,0.2487753208,3.864810658,3.695881509,0.1689291494,0.3935448155,0.5023020952,-0.1087572797,0.9219315978,1.067269347,-0.1453377491,0.7826739448,0.906058445,-0.1233845002,4.192079616,3.462932314,0.7291473019,10.43769566,19.46185624,-6.5509105,26.94161347,-1.307564565,34.25821067,19.46185624,27.20102973,0.3963089001,1.404089689,0.8276008395
train,20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C0_neutral,Dry-air open-loop neutral glide characterisation,v008,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1553784,26,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.02,1.076223,2.021973824,2.095669652,1.364135997,4.858406939,0.8730894202,0.9563905519,-0.03444204263,0.7036276018,0.1860053914,-0.9486098355,2.161077956,-8.739253633,5.615350188,2.190842353,0.380526065,5.453367151,2.528768847,0.2783969924,3.593376364,3.431393327,0.1619830368,0.09517270111,0.4330991948,-0.3379264937,0.983609932,1.085739005,-0.1021290726,0.91394621,1.008842038,-0.09489582793,3.653253436,3.160421899,0.4928315368,7.6630518,18.26937983,-18.96350776,22.60928674,1.167887004,29.57356157,18.26937983,22.62020607,0.3931016353,1.133160576,0.7235912455
train,20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C0_neutral,Dry-air open-loop neutral glide characterisation,v009,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1547878,18,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.065,1.1329798,2.034640597,2.197804605,1.516571442,4.542833281,1.10235109,1.054084368,-0.1101811971,0.9940917278,-0.07922021528,2.992459204,11.07517926,-10.12654654,5.115425084,2.501476283,0.3916911215,5.028850715,2.770034459,0.2247871523,3.080784487,2.994210119,0.08657436822,0.3036716786,0.5722298539,-0.2685581753,1.124880321,1.29178429,-0.1669039692,0.9928511707,1.140165332,-0.1473141615,2.738766453,2.317887082,0.4208793715,15.61104773,18.74226675,-15.25422837,24.95963065,1.538027462,37.02574118,18.79697188,26.01223063,0.275326424,1.045209238,0.8136947595
train,20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C0_neutral,Dry-air open-loop neutral glide characterisation,v010,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1542289,21,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,0.97,1.0134295,1.922788404,2.115070331,1.46824611,4.251850494,0.6340372558,1.041645853,-0.08868314602,0.8112911181,0.3240022714,1.655010003,9.264084749,-5.435748443,4.895167426,2.195716618,0.3875531953,4.721992692,2.541007485,0.2964203377,2.972379022,2.799204288,0.1731747341,0.08064628757,0.4259371546,-0.345290867,1.080692914,1.171825772,-0.09113285765,1.066372071,1.156297278,-0.08992520708,2.750438151,2.388754672,0.3616834796,-2.811439718,15.2797757,-15.4634731,23.30582093,1.053298569,28.10191201,15.2797757,23.30582093,0.1615819811,0.8335596991,0.5675296211
train,20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C0_neutral,Dry-air open-loop neutral glide characterisation,v011,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1532748,21,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,none_before_actual_remaining_duration,,1.0464737,1.990888243,2.088792667,1.46170142,4.832008813,0.8857845148,0.6338134083,-0.1358461129,0.1906693935,0.30162308,4.544313949,-1.251522582,-6.075930472,5.81038275,2.063038089,0.3966808181,5.887027973,2.853977256,0.5198719272,3.819494507,3.896139731,-0.07664522316,-0.02575457849,0.7651845885,-0.790939167,1.065020602,0.9418294932,0.1231911091,1.017723238,0.9000030228,0.1177202151,3.586310442,4.136778216,-0.5504677734,-0.6139885987,20.64016182,-21.60405858,16.58517277,6.702532021,32.83958217,20.64016182,16.60680654,0.8286254689,0.9211374936,0.7078127464
train,20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C0_neutral,Dry-air open-loop neutral glide characterisation,v012,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1505081,20,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,none_before_actual_remaining_duration,,1.0358569,1.991490329,2.072753018,1.520337089,4.533650751,0.07105702197,1.128518214,-0.2344065267,0.7151645663,0.6019860816,-4.10732308,12.09603782,-0.2877624265,4.818744334,1.920452313,0.388226111,4.858893729,2.057772675,0.4572486895,2.827254005,2.8674034,-0.04014939518,-0.1523007056,-0.01498034327,-0.1373203624,1.132110978,1.0630884,0.06902257848,1.092922177,1.026288862,0.06663331439,2.497329378,2.697238914,-0.1999095355,6.401281876,0.4225903606,-15.66466258,30.35318421,0.788248556,1.092704366,4.182795963,30.35318421,0.2344065267,0.7490024249,0.6019860816
