session_label,calibration_profile_hash,termination_group,throw_id,x0_m,y0_m,z0_m,launch_x_offset_m,launch_y_offset_m,launch_z_offset_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,speed0_m_s,horizontal_speed0_m_s,flight_path_angle_proxy0_deg,sideslip_proxy0_deg,termination_reason,duration_s,dx_m,dy_m,altitude_loss_m,sink_rate_m_s,glide_ratio_x_over_altloss
20260602_225953,,floor,v001,1.40596562,2.201857593,1.610490045,0.1059656205,0.2018575932,0.06049004498,6.434561017,2.250159636,-0.03391812724,0.4550470831,0.9910534846,-1.259668752,8.390414807,0.8448968863,-6.02992413,6.816740006,6.816655622,0.2850884084,19.27468149,exit_gate_floor,1.6790482,4.521114132,1.2333628,1.225387829,0.72981099,3.689537324
20260602_225953,,front_wall,v002,1.258443945,2.115609882,1.619402072,-0.04155605505,0.1156098818,0.06940207164,5.791858327,0.1522210924,-0.5122623078,0.8250010066,-0.2673089577,-0.5700517573,4.345737539,-8.971805131,7.537325824,5.81645999,5.793858313,5.05265132,1.505495882,exit_gate_front_wall,1.4039163,5.35199443,0.7793207976,0.8798920387,0.6267410947,6.08255808
20260602_225953,,front_wall,v003,1.315749792,2.161881813,1.62434138,0.01574979233,0.1618818132,0.07434138001,6.133186859,1.090146083,-0.3841901056,0.1648480125,-0.3911242023,-1.534279713,1.748980134,-6.602066946,0.07858523574,6.241153865,6.229317742,3.529218781,10.0788027,exit_gate_front_wall,1.5527587,5.286236861,2.010819592,1.120443822,0.7215827044,4.717984745
20260602_225953,,floor,v004,1.289424354,2.180532599,1.604553654,-0.01057564618,0.1805325988,0.05455365433,5.942449938,0.9246731213,0.07340901989,0.5080515074,0.8704264238,-0.2761135805,-0.8259189978,-0.6300084772,-1.49828714,6.014409408,6.013961394,-0.6993423912,8.84456361,exit_gate_floor,1.6164924,4.925313304,1.011814278,1.208127511,0.7473759301,4.076815783
20260602_225953,,floor,v005,1.267957436,2.110185901,1.552269281,-0.03204256386,0.1101859006,0.002269280967,5.945451409,2.046324699,0.0415171476,0.4237840377,0.5803133161,-1.639915228,0.4719993734,-4.050991111,-8.149144805,6.28789002,6.287752956,-0.3783104685,18.99260422,exit_gate_floor,1.6165648,5.138273897,2.053326191,1.163078638,0.7194754199,4.417821571
20260602_231554,,front_wall,v001,1.279158047,2.190480706,1.523128114,-0.02084195277,0.1904807057,-0.02687188563,6.142417162,0.562504236,-0.06774491098,0.3471607,0.1769278904,-1.010685057,6.62735128,-5.037014818,-1.232670535,6.168491629,6.168119616,0.6292584553,5.232382235,exit_gate_front_wall,1.4001084,5.325844175,0.290405399,0.8094263347,0.5781169049,6.579776252
20260602_231554,,floor,v002,1.268312514,2.016922051,1.53296913,-0.03168748586,0.0169220509,-0.01703087002,6.129191941,0.9244988711,-0.5172773739,0.6486085304,0.4159646384,-1.460285466,10.38972607,-4.974055737,-1.820160464,6.220069766,6.198523373,4.770377323,8.577569238,exit_gate_floor,1.6023639,4.50424562,-0.2243109468,1.1568359,0.721955793,3.893590802
20260602_231554,,front_wall,v003,1.355268194,2.098155712,1.554322433,0.05526819383,0.09815571233,0.004322433244,6.789668691,0.3939407797,-0.1687264313,0.3635556488,0.1818939921,0.1183881814,-2.627541715,-5.103451236,1.94246753,6.803180056,6.801087433,1.421144766,3.320613765,exit_gate_front_wall,1.7022378,5.258957273,0.5569671094,1.027041981,0.6033481229,5.120489102
20260602_231554,,floor,v004,1.400935174,2.190223793,1.566131165,0.1009351739,0.1902237925,0.0161311645,4.863674181,1.473040383,0.1306688423,-0.2943113109,-0.007358309683,-0.919539734,-2.087176841,-6.382245032,-7.411654789,5.083527207,5.081847549,-1.472913895,16.84976372,exit_gate_floor,1.3441728,4.450270746,1.12498381,1.170396501,0.8707187806,3.802361628
20260602_231554,,floor,v005,1.268387805,2.174118628,1.588063883,-0.03161219469,0.1741186281,0.03806388305,5.068636763,2.724129525,-0.3309826881,-0.1057454758,-0.1023913551,-1.663944333,-3.172723662,-3.766807402,-15.91371645,5.763810358,5.754299289,3.291980104,28.25572532,exit_gate_floor,1.5734699,5.103178444,1.595913604,1.200769452,0.763134682,4.24992361
