session_label,calibration_profile_hash,termination_group,throw_count,mean_launch_speed_m_s,mean_sink_rate_m_s,mean_dx_m,mean_dy_m,mean_duration_s,mean_glide_ratio_x_over_altloss
20260602_225953,,floor,3,6.369605517,0.73222078,4.861567111,1.432834423,1.637368467,4.061391559
20260602_225953,,front_wall,2,6.024023766,0.6741618996,5.319115645,1.395070195,1.4783375,5.400271413
20260602_231554,,floor,22,5.540142389,0.8404694338,4.407522344,0.667820941,1.463041482,3.628081072
20260602_231554,,front_wall,3,6.27038642,0.5916988227,5.291493161,0.4829656734,1.5082036,5.988474048
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,28,5.022941522,0.912406862,4.165836955,0.3069582296,1.215290896,3.808780874
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,front_wall,2,6.212189185,0.4845716039,5.33155064,-0.5928002727,1.4059639,8.318415774
20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,90,4.75088851,0.9435198496,3.697340692,0.2032044492,1.126124073,3.508047659
20260603_143411,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,10,5.000375158,0.8969425469,4.042486824,0.08737984532,1.26782019,3.612643737
20260603_144119,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,10,5.054020371,0.8667261339,4.114542738,-0.04147869326,1.29152076,3.695320588
