diagnostic_version,environment_block_id,library_size_case_id,policy_id,paired_case_count,neutral_mission_success_rate,controlled_mission_success_rate,mission_success_delta_control_minus_neutral,neutral_safe_geometric_rate,controlled_safe_success_rate,safe_success_delta_control_minus_neutral,neutral_wrong_wall_exit_rate,controlled_wrong_wall_exit_rate,neutral_floor_or_ceiling_rate,controlled_floor_or_ceiling_rate,neutral_mean_score,controlled_mean_launch_score,score_delta_control_minus_neutral,neutral_mean_terminal_specific_energy_m,controlled_mean_terminal_specific_energy_m
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l4_local_fan_position_uncertainty,balanced_cluster,spatial_flow_belief_memory_h3,20,0.7,0.85,0.15000000000000002,0.75,0.85,0.09999999999999998,0.05,0.05,0.25,0.0,59.559631226023086,113.70664983821106,54.14701861218798,2.2238623941641698,2.4650887763517906
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l4_local_fan_position_uncertainty,balanced_cluster,spatial_flow_belief_memory_h30,20,0.7,0.8,0.10000000000000009,0.75,0.8,0.050000000000000044,0.05,0.05,0.25,0.05,59.559631226023086,102.71089354641533,43.15126232039225,2.2238623941641698,2.464901363914051
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l5_active_fan_count_uncertainty,balanced_cluster,no_memory_baseline,20,0.65,0.7,0.04999999999999993,0.7,0.7,0.0,0.05,0.0,0.3,0.05,50.07970642379288,77.30387266024793,27.224166236455055,2.245211476162761,2.3308804490111212
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l5_active_fan_count_uncertainty,balanced_cluster,spatial_flow_belief_memory_h10,20,0.65,0.7,0.04999999999999993,0.7,0.7,0.0,0.05,0.0,0.3,0.05,50.07970642379288,77.30087588560801,27.22116946181513,2.245211476162761,2.328910631493172
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l5_active_fan_count_uncertainty,balanced_cluster,spatial_flow_belief_memory_h3,20,0.65,0.7,0.04999999999999993,0.7,0.7,0.0,0.05,0.0,0.3,0.05,50.07970642379288,77.300875885608,27.221169461815116,2.245211476162761,2.3289106314931716
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l5_active_fan_count_uncertainty,balanced_cluster,spatial_flow_belief_memory_h30,20,0.65,0.7,0.04999999999999993,0.7,0.7,0.0,0.05,0.0,0.3,0.05,50.07970642379288,77.3102691252913,27.23056270149842,2.245211476162761,2.329557491008483
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l6_environment_only_full_uncertainty,balanced_cluster,no_memory_baseline,20,0.65,0.7,0.04999999999999993,0.7,0.7,0.0,0.05,0.0,0.3,0.05,50.13114411385703,80.15308594973462,30.021941835877584,2.261959811034392,2.3423336947559266
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l6_environment_only_full_uncertainty,balanced_cluster,spatial_flow_belief_memory_h10,20,0.65,0.75,0.09999999999999998,0.7,0.75,0.050000000000000044,0.05,0.0,0.3,0.05,50.13114411385704,88.07983431220939,37.948690198352345,2.2619598110343917,2.3410972345620076
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l6_environment_only_full_uncertainty,balanced_cluster,spatial_flow_belief_memory_h3,20,0.65,0.75,0.09999999999999998,0.7,0.75,0.050000000000000044,0.05,0.0,0.3,0.05,50.13114411385704,88.07983431220939,37.948690198352345,2.2619598110343917,2.3410972345620076
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l6_environment_only_full_uncertainty,balanced_cluster,spatial_flow_belief_memory_h30,20,0.65,0.7,0.04999999999999993,0.7,0.7,0.0,0.05,0.0,0.3,0.05,50.13114411385705,80.1524616787444,30.021317564887354,2.2619598110343917,2.3431067038153355
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l7_full_domain_randomisation_arena_wide,balanced_cluster,no_memory_baseline,20,0.75,0.7,-0.050000000000000044,0.75,0.7,-0.050000000000000044,0.0,0.05,0.25,0.05,68.51060366937602,67.73849567114857,-0.7721079982274546,2.2050101123237233,2.19989981880256
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l7_full_domain_randomisation_arena_wide,balanced_cluster,spatial_flow_belief_memory_h10,20,0.75,0.7,-0.050000000000000044,0.75,0.7,-0.050000000000000044,0.0,0.05,0.25,0.05,68.51060366937602,67.73373041557663,-0.7768732537993941,2.2050101123237233,2.1988014535822717
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l7_full_domain_randomisation_arena_wide,balanced_cluster,spatial_flow_belief_memory_h3,20,0.75,0.7,-0.050000000000000044,0.75,0.7,-0.050000000000000044,0.0,0.05,0.25,0.05,68.51060366937602,67.73373041557663,-0.7768732537993941,2.205010112323723,2.1988014535822713
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l7_full_domain_randomisation_arena_wide,balanced_cluster,spatial_flow_belief_memory_h30,20,0.75,0.7,-0.050000000000000044,0.75,0.7,-0.050000000000000044,0.0,0.05,0.25,0.05,68.51060366937602,67.73296180735734,-0.7776418620186831,2.2050101123237233,2.1987221699025783
