audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,513,385,21,21,0,0.0005339008996463794,0.0453168063012125,8.624790155976202e-05,0.20860833706996432,20,0.035548579442626085,0.7071874508247401,2.725224042183732e-05,159,0.4159987630575849,385,0.07218961059381296,385,0.00044992999039001247,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",25,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7042708930032066,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",26,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7081761177054223,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:light_cluster",25,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7158708535159257,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",26,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7082144742077449,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",26,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7522345064221032,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",26,26,1,1,0,5.518965395034616e-06,0.0001434931002709,1.199676229058665e-06,0.17693765590047647,1,0.048137258711085554,0.7093397780796595,5.5437593433885445e-05,9,0.554231160276318,26,0.09711490023756743,26,5.068507462034615e-06,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",26,26,0,0,0,0.0,0.0,0.0,0.0,0,0.050205074364063663,0.6874923509441937,6.141088197787215e-05,11,0.5179913957086695,26,0.09084246039381269,26,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",25,25,0,0,0,0.0,0.0,0.0,0.0,0,0.045969983140395757,0.6936008359057132,6.555701241303513e-05,9,0.5399259531289685,25,0.0942083169233565,25,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",26,26,3,3,0,0.0017572741934932462,0.0453168063012125,0.00024141991587479304,1.508211080228949,3,0.046382255962672696,0.7117025961458173,5.286158683169045e-05,13,0.5787388449393265,26,0.0994167148230578,26,0.001527077218280527,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:super_light_cluster",26,26,2,2,0,0.00174392274136655,0.0449897738406783,0.00030128086448381923,0.3241056396713538,2,0.04960144291757463,0.7230266705992296,4.3113387031353816e-05,12,0.5866340348796096,26,0.10080077548842607,26,0.0014498997445768886,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:balanced_cluster",25,25,0,0,0,0.0,0.0,0.0,0.0,0,0.04302958475209653,0.6851712892227373,1.9268619619264252e-05,10,0.5312221596530035,25,0.09282976586931152,25,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:heavy_cluster",26,26,0,0,0,0.0,0.0,0.0,0.0,0,0.04151391055803266,0.6892479683818636,4.112862475760904e-05,11,0.5189176035878329,26,0.09113330936142366,26,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:light_cluster",25,25,0,0,0,0.0,0.0,0.0,0.0,0,0.03720091138234201,0.6975753551377939,2.0654997271604645e-05,9,0.5426951203795489,25,0.09474208318141752,25,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
