comparison_type,library_size_case_id,environment_block_id,outer_case_index,common_final_launch_key,policy_id,baseline_policy_id,history_length,launch_score,baseline_launch_score,paired_delta_launch_score,mission_success_delta,front_wall_terminal_success_delta,wrong_wall_exit_delta,safe_success_delta,hard_failure_delta,floor_or_ceiling_violation_delta,no_viable_primitive_delta,net_specific_energy_delta_m_delta,positive_specific_energy_gain_m_delta,updraft_specific_energy_gain_proxy_m_delta,terminal_specific_energy_m_delta,terminal_specific_energy_bonus_delta,gross_specific_energy_loss_m_delta,episode_flight_time_s_delta,memory_changed_selection,exploration_changed_selection,safety_regression,claim_status
memory_vs_no_memory,balanced_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h30,no_memory_baseline,30,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,super_light_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h10,no_memory_baseline,10,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.0273381328600677,0.0,0.2188714756603487,-0.0273381328600677,0.0,0.0273381328600677,0.020000000000000018,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,super_light_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h10,no_memory_baseline,10,124.83433660781378,124.83380299828411,0.0005336095296684107,0,0,0,0,0,0,0,-0.012285813366005094,0.0,2.6680476483520454e-05,-0.012285813366005094,0.0,0.012285813366005094,0.0,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,light_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h30,no_memory_baseline,30,125.15044329116057,124.83380299828411,0.3166402928764569,0,0,0,0,0,0,0,0.013171610658837096,0.0,0.010832014643822302,0.013171610658837096,0.0,-0.013171610658837096,0.0,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,no_cluster_no_merge,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0.03181829866277708,0.0,-0.08662069742044731,0.03181829866277708,0.0,-0.03181829866277708,-0.020000000000000018,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,no_cluster_no_merge,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h3,no_memory_baseline,3,125.32365915082265,125.3212590803256,0.0024000704970461584,0,0,0,0,0,0,0,-0.0155091764525217,0.0,0.00012000352485250221,-0.015509176452522144,0.0,0.0155091764525217,0.0,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,light_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h30,no_memory_baseline,30,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,super_light_cluster,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h30,no_memory_baseline,30,125.14838043764146,124.83380299828411,0.3145774393573504,0,0,0,0,0,0,0,0.0008699652237030286,0.0,0.010728871967867204,0.0008699652237029731,0.0,-0.0008699652237030286,0.0,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,super_light_cluster,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h30,no_memory_baseline,30,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,no_cluster_no_merge,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h10,no_memory_baseline,10,125.33483234924898,125.3212590803256,0.01357326892338051,0,0,0,0,0,0,0,-0.01117261863318747,0.0,0.0006786634461690977,-0.01117261863318797,0.0,0.01117261863318747,0.0,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,no_cluster_no_merge,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h10,no_memory_baseline,10,0.0,0.0,0.0,0,0,0,0,0,0,0,0.03181829866277708,0.0,-0.08662069742044731,0.03181829866277708,0.0,-0.03181829866277708,-0.020000000000000018,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,no_cluster_no_merge,r11_l1_single_fan_fixed_nominal,1,r10_targeted_single_fan_fixed_final_0001,spatial_flow_belief_memory_h30,no_memory_baseline,30,125.1451294444032,125.3212590803256,-0.1761296359224076,0,0,0,0,0,0,0,-0.014212345182093689,0.0,-0.008806481796120397,-0.014212345182094133,0.0,0.014212345182093689,0.0,True,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,no_cluster_no_merge,r11_l1_single_fan_fixed_nominal,0,r10_targeted_single_fan_fixed_final_0000,spatial_flow_belief_memory_h30,no_memory_baseline,30,0.0,0.0,0.0,0,0,0,0,0,0,0,0.03181829866277708,0.0,-0.08662069742044731,0.03181829866277708,0.0,-0.03181829866277708,-0.020000000000000018,True,False,False,simulation_only_paired_launch_score_audit
