audit_scope,timing_requirement_tier,timing_requirement_policy,hard_100ms_required_rate,selector_decision_count,prepared_before_boundary_count,prepared_before_boundary_rate,preferred_20ms_slot_met_count,preferred_20ms_slot_met_rate,hard_100ms_boundary_met_count,hard_100ms_boundary_met_rate,hard_100ms_requirement_passed,max_decision_total_duration_s,p99_decision_total_duration_s,mean_decision_total_duration_s,mean_evaluated_candidate_count,max_evaluated_candidate_count,mean_total_library_candidate_count,max_total_library_candidate_count,mean_prefilter_skipped_candidate_count,preferred_decision_budget_s,hard_decision_budget_s,audit_status,real_time_claim_status
overall,aggregate_diagnostic,reported_only_mixed_scope,,513,513,1.0,222,0.4327485380116959,436,0.8499025341130604,,0.8645728999908897,0.7340495439979713,0.0635373054578911,8.680311890838206,48,430.6101364522417,1587,421.9298245614035,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_required:heavy_balanced,required_real_flight_candidate_aggregate,aggregate_includes_pre_release_report_inflight_scope_for_gate,,205,205,1.0,99,0.48292682926829267,199,0.9707317073170731,,0.2396980999983498,0.12411747199017559,0.028641174146025284,1.8146341463414635,3,49.63414634146341,75,47.81951219512195,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_optional_extended:light_super_light,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,204,204,1.0,83,0.4068627450980392,172,0.8431372549019608,,0.2993984999993699,0.24146470700383352,0.04723390441130517,4.75,10,223.92156862745097,295,219.17156862745097,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
offline_comparison:unrestricted:not_real_flight_candidate:no_cluster_no_merge,offline_unrestricted_comparison,no_real_flight_timing_restriction,,104,104,1.0,40,0.38461538461538464,65,0.625,,0.8645728999908897,0.8372480060031375,0.1643026971159298,29.923076923076923,48,1587.0,1587,1557.076923076923,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_required:heavy_balanced:inflight_boundary_decisions,required_real_flight_candidate,all_inflight_decisions_must_meet_100ms_for_heavy_and_balanced,1.0,189,189,1.0,95,0.5026455026455027,187,0.9894179894179894,False,0.1246966999897267,0.09320985600119458,0.0255200291001182,1.7566137566137565,3,49.6031746031746,75,47.84656084656085,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_optional_extended:light_super_light:inflight_boundary_decisions,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,188,188,1.0,79,0.42021276595744683,164,0.8723404255319149,,0.2811198000053991,0.21475666699618146,0.04206423510588636,4.664893617021277,10,224.04255319148936,295,219.37765957446808,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
pre_release_initial_decisions:not_inflight_boundary_compute,pre_release_preparation,not_an_inflight_boundary_compute_gate,,40,40,1.0,8,0.2,22,0.55,,0.8645728999908897,0.854659255995648,0.18473822250034572,12.9,48,426.4,1587,413.5,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:balanced_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,101,101,1.0,47,0.46534653465346537,97,0.9603960396039604,,0.2396980999983498,0.1274867999964044,0.031148563366063992,1.900990099009901,3,75.0,75,73.0990099009901,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:heavy_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,104,104,1.0,52,0.5,102,0.9807692307692307,,0.1102160000009462,0.10042494800552956,0.026206113461179993,1.7307692307692308,3,25.0,25,23.26923076923077,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:light_cluster,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,100,100,1.0,40,0.4,86,0.86,,0.2811198000053991,0.2043154019920625,0.045583770999874054,3.68,6,150.0,150,146.32,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:no_cluster_no_merge,offline_unrestricted_comparison,no_real_flight_timing_restriction,,104,104,1.0,40,0.38461538461538464,65,0.625,,0.8645728999908897,0.8372480060031375,0.1643026971159298,29.923076923076923,48,1587.0,1587,1557.076923076923,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:super_light_cluster,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,104,104,1.0,43,0.41346153846153844,86,0.8269230769230769,,0.2993984999993699,0.24146470700383352,0.048820571153065866,5.778846153846154,10,295.0,295,289.22115384615387,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
launch_role:final_heldout,aggregate_diagnostic,reported_only_mixed_scope,,513,513,1.0,222,0.4327485380116959,436,0.8499025341130604,,0.8645728999908897,0.7340495439979713,0.0635373054578911,8.680311890838206,48,430.6101364522417,1587,421.9298245614035,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
policy_id:no_memory_baseline,aggregate_diagnostic,reported_only_mixed_scope,,128,128,1.0,117,0.9140625,128,1.0,,0.031353600003058,0.030036312997763145,0.008813075780835736,8.7109375,48,431.3046875,1587,422.59375,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
policy_id:spatial_flow_belief_memory_h10,aggregate_diagnostic,reported_only_mixed_scope,,129,129,1.0,39,0.3023255813953488,108,0.8372093023255814,,0.8645728999908897,0.7323853359988425,0.07622260465052033,8.589147286821705,48,428.5426356589147,1587,419.95348837209303,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
