timestamp_utc,stage_id,decision,stage_status,passed,blocked_reason,run_root,duration_s,docs_alignment_status,controlling_hashes,docs_changed_during_run,docs_alignment_checkpoint
2026-05-30T01:41:40.052816+00:00,R5,terminate_blocked,complete,False,failed_gate:launch_gate_candidate_availability_audit,03_Control/05_Results/R5_dense/B02,2020.05,aligned,"{""docs/Daily_Schedule.txt"":""e8f930c1618d7d6001ae6cf483a7320d3f1a573ec984a28a09b00050a7da3b51"",""docs/Glider_Control_Project_Plan.md"":""58f7d191efbd480767233f8e1e37f62e5bc6396c2b888dc74be6d92b010d4ff8"",""docs/MATLAB Coding.txt"":""78933a973aa89a6ccda7023fedfd496d42617d4d59834def0bb3df0999901520"",""docs/PR.txt"":""43fc6db4273ccb6e3c9e6675063f4b657f21db21d26c3819e4ca15cc7f33c461"",""docs/Python Coding Instruction.txt"":""387f08601111cb0812aaebb28e42a4b1246eaedc365dc893468c2fbab9e7aedb"",""docs/Python Coding to CODEX.txt"":""dd59b35a4a5e5d71e2e77f70ec5f2a82ff0eb1d41faeeecd312c516a95275c5d"",""docs/Skills.md"":""2c0860da5a54057d317797929fde6428aa3fea450f22ced93255cc00c5cb0ecb"",""docs/housekeeping_and_naming_rules.md"":""155fb97fc139e6e1f14941447f5896d19810d75b80454700440eee0833a380f6""}",False,before_terminate_blocked
2026-05-30T01:41:40.070817+00:00,R5,terminate_blocked,blocked,False,failed_gate:launch_gate_candidate_availability_audit,,0.0,aligned,"{""docs/Daily_Schedule.txt"":""e8f930c1618d7d6001ae6cf483a7320d3f1a573ec984a28a09b00050a7da3b51"",""docs/Glider_Control_Project_Plan.md"":""58f7d191efbd480767233f8e1e37f62e5bc6396c2b888dc74be6d92b010d4ff8"",""docs/MATLAB Coding.txt"":""78933a973aa89a6ccda7023fedfd496d42617d4d59834def0bb3df0999901520"",""docs/PR.txt"":""43fc6db4273ccb6e3c9e6675063f4b657f21db21d26c3819e4ca15cc7f33c461"",""docs/Python Coding Instruction.txt"":""387f08601111cb0812aaebb28e42a4b1246eaedc365dc893468c2fbab9e7aedb"",""docs/Python Coding to CODEX.txt"":""dd59b35a4a5e5d71e2e77f70ec5f2a82ff0eb1d41faeeecd312c516a95275c5d"",""docs/Skills.md"":""2c0860da5a54057d317797929fde6428aa3fea450f22ced93255cc00c5cb0ecb"",""docs/housekeeping_and_naming_rules.md"":""155fb97fc139e6e1f14941447f5896d19810d75b80454700440eee0833a380f6""}",False,before_terminate_blocked
2026-05-30T01:50:00.071928+00:00,R5,continue,complete,True,,03_Control/05_Results/R5_dense/B02,301.317,aligned,"{""docs/Daily_Schedule.txt"":""e8f930c1618d7d6001ae6cf483a7320d3f1a573ec984a28a09b00050a7da3b51"",""docs/Glider_Control_Project_Plan.md"":""58f7d191efbd480767233f8e1e37f62e5bc6396c2b888dc74be6d92b010d4ff8"",""docs/MATLAB Coding.txt"":""78933a973aa89a6ccda7023fedfd496d42617d4d59834def0bb3df0999901520"",""docs/PR.txt"":""43fc6db4273ccb6e3c9e6675063f4b657f21db21d26c3819e4ca15cc7f33c461"",""docs/Python Coding Instruction.txt"":""387f08601111cb0812aaebb28e42a4b1246eaedc365dc893468c2fbab9e7aedb"",""docs/Python Coding to CODEX.txt"":""dd59b35a4a5e5d71e2e77f70ec5f2a82ff0eb1d41faeeecd312c516a95275c5d"",""docs/Skills.md"":""2c0860da5a54057d317797929fde6428aa3fea450f22ced93255cc00c5cb0ecb"",""docs/housekeeping_and_naming_rules.md"":""155fb97fc139e6e1f14941447f5896d19810d75b80454700440eee0833a380f6""}",False,before_continue_decision
2026-05-30T03:01:44.806582+00:00,R7,continue,complete,True,,03_Control/05_Results/R7_survival/B02,4215.409,aligned,"{""docs/Daily_Schedule.txt"":""e8f930c1618d7d6001ae6cf483a7320d3f1a573ec984a28a09b00050a7da3b51"",""docs/Glider_Control_Project_Plan.md"":""58f7d191efbd480767233f8e1e37f62e5bc6396c2b888dc74be6d92b010d4ff8"",""docs/MATLAB Coding.txt"":""78933a973aa89a6ccda7023fedfd496d42617d4d59834def0bb3df0999901520"",""docs/PR.txt"":""43fc6db4273ccb6e3c9e6675063f4b657f21db21d26c3819e4ca15cc7f33c461"",""docs/Python Coding Instruction.txt"":""387f08601111cb0812aaebb28e42a4b1246eaedc365dc893468c2fbab9e7aedb"",""docs/Python Coding to CODEX.txt"":""dd59b35a4a5e5d71e2e77f70ec5f2a82ff0eb1d41faeeecd312c516a95275c5d"",""docs/Skills.md"":""2c0860da5a54057d317797929fde6428aa3fea450f22ced93255cc00c5cb0ecb"",""docs/housekeeping_and_naming_rules.md"":""155fb97fc139e6e1f14941447f5896d19810d75b80454700440eee0833a380f6""}",False,before_continue_decision
2026-05-30T03:08:47.946440+00:00,R8,continue,complete,True,,03_Control/05_Results/R8_library_size_study/B02,334.339,aligned,"{""docs/Daily_Schedule.txt"":""e8f930c1618d7d6001ae6cf483a7320d3f1a573ec984a28a09b00050a7da3b51"",""docs/Glider_Control_Project_Plan.md"":""58f7d191efbd480767233f8e1e37f62e5bc6396c2b888dc74be6d92b010d4ff8"",""docs/MATLAB Coding.txt"":""78933a973aa89a6ccda7023fedfd496d42617d4d59834def0bb3df0999901520"",""docs/PR.txt"":""43fc6db4273ccb6e3c9e6675063f4b657f21db21d26c3819e4ca15cc7f33c461"",""docs/Python Coding Instruction.txt"":""387f08601111cb0812aaebb28e42a4b1246eaedc365dc893468c2fbab9e7aedb"",""docs/Python Coding to CODEX.txt"":""dd59b35a4a5e5d71e2e77f70ec5f2a82ff0eb1d41faeeecd312c516a95275c5d"",""docs/Skills.md"":""2c0860da5a54057d317797929fde6428aa3fea450f22ced93255cc00c5cb0ecb"",""docs/housekeeping_and_naming_rules.md"":""155fb97fc139e6e1f14941447f5896d19810d75b80454700440eee0833a380f6""}",False,before_continue_decision
2026-05-30T03:47:11.142455+00:00,R10,terminate_blocked,complete,False,"failed_gate:pass_gate_true,final_heldout_launch_count_exact,history_launch_count_exact,r10_frozen_governor_config_selected_for_r11,r10_validation_gate_hard_failure_rate_within_stage_profile",03_Control/05_Results/R10_learn/B02,2231.019,aligned,"{""docs/Daily_Schedule.txt"":""e8f930c1618d7d6001ae6cf483a7320d3f1a573ec984a28a09b00050a7da3b51"",""docs/Glider_Control_Project_Plan.md"":""58f7d191efbd480767233f8e1e37f62e5bc6396c2b888dc74be6d92b010d4ff8"",""docs/MATLAB Coding.txt"":""78933a973aa89a6ccda7023fedfd496d42617d4d59834def0bb3df0999901520"",""docs/PR.txt"":""43fc6db4273ccb6e3c9e6675063f4b657f21db21d26c3819e4ca15cc7f33c461"",""docs/Python Coding Instruction.txt"":""387f08601111cb0812aaebb28e42a4b1246eaedc365dc893468c2fbab9e7aedb"",""docs/Python Coding to CODEX.txt"":""dd59b35a4a5e5d71e2e77f70ec5f2a82ff0eb1d41faeeecd312c516a95275c5d"",""docs/Skills.md"":""2c0860da5a54057d317797929fde6428aa3fea450f22ced93255cc00c5cb0ecb"",""docs/housekeeping_and_naming_rules.md"":""155fb97fc139e6e1f14941447f5896d19810d75b80454700440eee0833a380f6""}",False,before_terminate_blocked
2026-05-30T03:47:11.164972+00:00,R10,terminate_blocked,blocked,False,"failed_gate:pass_gate_true,final_heldout_launch_count_exact,history_launch_count_exact,r10_frozen_governor_config_selected_for_r11,r10_validation_gate_hard_failure_rate_within_stage_profile",,0.0,aligned,"{""docs/Daily_Schedule.txt"":""e8f930c1618d7d6001ae6cf483a7320d3f1a573ec984a28a09b00050a7da3b51"",""docs/Glider_Control_Project_Plan.md"":""58f7d191efbd480767233f8e1e37f62e5bc6396c2b888dc74be6d92b010d4ff8"",""docs/MATLAB Coding.txt"":""78933a973aa89a6ccda7023fedfd496d42617d4d59834def0bb3df0999901520"",""docs/PR.txt"":""43fc6db4273ccb6e3c9e6675063f4b657f21db21d26c3819e4ca15cc7f33c461"",""docs/Python Coding Instruction.txt"":""387f08601111cb0812aaebb28e42a4b1246eaedc365dc893468c2fbab9e7aedb"",""docs/Python Coding to CODEX.txt"":""dd59b35a4a5e5d71e2e77f70ec5f2a82ff0eb1d41faeeecd312c516a95275c5d"",""docs/Skills.md"":""2c0860da5a54057d317797929fde6428aa3fea450f22ced93255cc00c5cb0ecb"",""docs/housekeeping_and_naming_rules.md"":""155fb97fc139e6e1f14941447f5896d19810d75b80454700440eee0833a380f6""}",False,before_terminate_blocked
2026-05-30T04:30:51.174903+00:00,R10,terminate_blocked,complete,False,"failed_gate:pass_gate_true,r10_frozen_governor_config_selected_for_r11,r10_validation_gate_hard_failure_rate_within_stage_profile",03_Control/05_Results/R10_learn/B03,2325.822,aligned,"{""docs/Daily_Schedule.txt"":""e8f930c1618d7d6001ae6cf483a7320d3f1a573ec984a28a09b00050a7da3b51"",""docs/Glider_Control_Project_Plan.md"":""58f7d191efbd480767233f8e1e37f62e5bc6396c2b888dc74be6d92b010d4ff8"",""docs/MATLAB Coding.txt"":""78933a973aa89a6ccda7023fedfd496d42617d4d59834def0bb3df0999901520"",""docs/PR.txt"":""43fc6db4273ccb6e3c9e6675063f4b657f21db21d26c3819e4ca15cc7f33c461"",""docs/Python Coding Instruction.txt"":""387f08601111cb0812aaebb28e42a4b1246eaedc365dc893468c2fbab9e7aedb"",""docs/Python Coding to CODEX.txt"":""dd59b35a4a5e5d71e2e77f70ec5f2a82ff0eb1d41faeeecd312c516a95275c5d"",""docs/Skills.md"":""2c0860da5a54057d317797929fde6428aa3fea450f22ced93255cc00c5cb0ecb"",""docs/housekeeping_and_naming_rules.md"":""155fb97fc139e6e1f14941447f5896d19810d75b80454700440eee0833a380f6""}",False,before_terminate_blocked
2026-05-30T04:30:51.192901+00:00,R10,terminate_blocked,blocked,False,"failed_gate:pass_gate_true,r10_frozen_governor_config_selected_for_r11,r10_validation_gate_hard_failure_rate_within_stage_profile",,0.0,aligned,"{""docs/Daily_Schedule.txt"":""e8f930c1618d7d6001ae6cf483a7320d3f1a573ec984a28a09b00050a7da3b51"",""docs/Glider_Control_Project_Plan.md"":""58f7d191efbd480767233f8e1e37f62e5bc6396c2b888dc74be6d92b010d4ff8"",""docs/MATLAB Coding.txt"":""78933a973aa89a6ccda7023fedfd496d42617d4d59834def0bb3df0999901520"",""docs/PR.txt"":""43fc6db4273ccb6e3c9e6675063f4b657f21db21d26c3819e4ca15cc7f33c461"",""docs/Python Coding Instruction.txt"":""387f08601111cb0812aaebb28e42a4b1246eaedc365dc893468c2fbab9e7aedb"",""docs/Python Coding to CODEX.txt"":""dd59b35a4a5e5d71e2e77f70ec5f2a82ff0eb1d41faeeecd312c516a95275c5d"",""docs/Skills.md"":""2c0860da5a54057d317797929fde6428aa3fea450f22ced93255cc00c5cb0ecb"",""docs/housekeeping_and_naming_rules.md"":""155fb97fc139e6e1f14941447f5896d19810d75b80454700440eee0833a380f6""}",False,before_terminate_blocked
2026-05-30T05:14:05.801887+00:00,R10,continue,complete,True,,03_Control/05_Results/R10_learn/B04,2313.249,aligned,"{""docs/Daily_Schedule.txt"":""e8f930c1618d7d6001ae6cf483a7320d3f1a573ec984a28a09b00050a7da3b51"",""docs/Glider_Control_Project_Plan.md"":""58f7d191efbd480767233f8e1e37f62e5bc6396c2b888dc74be6d92b010d4ff8"",""docs/MATLAB Coding.txt"":""78933a973aa89a6ccda7023fedfd496d42617d4d59834def0bb3df0999901520"",""docs/PR.txt"":""43fc6db4273ccb6e3c9e6675063f4b657f21db21d26c3819e4ca15cc7f33c461"",""docs/Python Coding Instruction.txt"":""387f08601111cb0812aaebb28e42a4b1246eaedc365dc893468c2fbab9e7aedb"",""docs/Python Coding to CODEX.txt"":""dd59b35a4a5e5d71e2e77f70ec5f2a82ff0eb1d41faeeecd312c516a95275c5d"",""docs/Skills.md"":""2c0860da5a54057d317797929fde6428aa3fea450f22ced93255cc00c5cb0ecb"",""docs/housekeeping_and_naming_rules.md"":""155fb97fc139e6e1f14941447f5896d19810d75b80454700440eee0833a380f6""}",False,before_continue_decision
