stage_id,status,stage_run_root,blocked_reason,duration_s,docs_alignment_status
R5,blocked,03_Control/05_Results/R5_dense/B02,failed_gate:launch_gate_candidate_availability_audit,2020.052,aligned
R5,passed,03_Control/05_Results/R5_dense/B02,,301.321,aligned
R7,passed,03_Control/05_Results/R7_survival/B02,,4215.412,aligned
R8,passed,03_Control/05_Results/R8_library_size_study/B02,,334.343,aligned
R10,blocked,03_Control/05_Results/R10_learn/B02,"failed_gate:pass_gate_true,final_heldout_launch_count_exact,history_launch_count_exact,r10_frozen_governor_config_selected_for_r11,r10_validation_gate_hard_failure_rate_within_stage_profile",2231.023,aligned
R10,blocked,03_Control/05_Results/R10_learn/B03,"failed_gate:pass_gate_true,r10_frozen_governor_config_selected_for_r11,r10_validation_gate_hard_failure_rate_within_stage_profile",2325.825,aligned
R10,passed,03_Control/05_Results/R10_learn/B04,,2313.252,aligned
R11,blocked,03_Control/05_Results/R11_validation/B04,"failed_gate:pass_gate_true,r11_validation_gate_hard_failure_rate_within_stage_profile,r11_validation_gate_floor_or_ceiling_violation_rate_within_stage_profile,r11_validation_gate_no_viable_primitive_rate_within_stage_profile,r11_validation_gate_safe_success_rate_within_stage_profile,r11_validation_gate_terminal_or_lift_capture_within_stage_profile,r11_validation_gate_full_safe_success_rate_within_stage_profile",3646.923,aligned
