compact_library_id,library_size_case_id,library_size_human_label,primitive_variant_id,transition_object_id,primitive_id,entry_role,transition_entry_class,controller_id,finite_horizon_s,controller_input_slots_per_primitive,controller_input_update_period_s,primitive_timing_contract_version,primitive_timing_contract_status,transition_success_probability,transition_chain_compatible_rate,transition_exit_classes_seen,transition_pairs_seen,continuation_probability,terminal_useful_probability,hard_failure_risk,expected_energy_residual_m,expected_updraft_gain_proxy_m,expected_lift_dwell_time_s,minimum_wall_margin_min_m,floor_margin_min_m,ceiling_margin_min_m,saturation_fraction_mean,known_failure_boundaries,environment_coverage,runtime_context_conditioning_required,runtime_context_conditioning_version,runtime_context_conditioning_policy,context_conditioning_keys,sample_count,margin_class,prediction_source,claim_status
v53lib_heavy_cluster_a0deb3b12867,heavy_cluster,heavy clustering and merging,primvar_energy_retaining_bank_transition_object_673efd961290,primvar_energy_retaining_bank_transition_object_673efd961290__entry_boundary_near,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_2a68e29eb404,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.5,0.5,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,0.5,0.5,0.05,-0.0320707572470927,0.0,0.027,-0.0720603716130856,0.5049650383179497,0.7971669948028199,0.43,boundary_near_route_usable_low_hard_failure,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,unsafe_negative_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_8bc6be004dd1,heavy_cluster,heavy clustering and merging,primvar_energy_retaining_bank_transition_object_438ef31beb5e,primvar_energy_retaining_bank_transition_object_438ef31beb5e__entry_inflight_stable,energy_retaining_bank,transition_object,inflight_stable,lqrta_energy_retaining_bank_e728d3223650,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.95,0.95,boundary_near;inflight_stable;recoverable_degraded,inflight_stable->boundary_near;inflight_stable->inflight_stable;inflight_stable->recoverable_degraded,0.95,0.0,0.0,-0.0028851718628388,0.0,0.067,0.1989077353559407,0.6119075062555205,0.910492073908344,0.35,inflight_stable_high_probability_transition_survivor,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_91a1919bc7a1,heavy_cluster,heavy clustering and merging,primvar_energy_retaining_bank_transition_object_382f68e7fec4,primvar_energy_retaining_bank_transition_object_382f68e7fec4__entry_launch_gate,energy_retaining_bank,transition_object,launch_gate,lqrta_energy_retaining_bank_e2fd57382dbb,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.5,0.5,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.5,0.0,0.0,-0.1384849098321082,0.0,0.0015,0.0042965023720533,0.7523127103437627,1.5515684307719058,0.805,launch_gate_route_usable_nonzero_handoff_low_hard_failure,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_88a363c8dd79,heavy_cluster,heavy clustering and merging,primvar_energy_retaining_bank_transition_object_9a9ad143f3d1,primvar_energy_retaining_bank_transition_object_9a9ad143f3d1__entry_recoverable_degraded,energy_retaining_bank,transition_object,recoverable_degraded,lqrta_energy_retaining_bank_1a4e66fddd8a,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.2,0.2,boundary_near;inflight_stable;recoverable_degraded,recoverable_degraded->boundary_near;recoverable_degraded->inflight_stable;recoverable_degraded->recoverable_degraded,0.2,0.0,0.0,0.0061933283065642,0.0,0.066,0.4461379157698246,0.5966107895148866,0.7738804081310358,0.97,recoverable_degraded_route_usable_nonzero_progress_low_hard_failure,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_043c007effec,heavy_cluster,heavy clustering and merging,primvar_glide_transition_object_bd30d582cdb6,primvar_glide_transition_object_bd30d582cdb6__entry_boundary_near,glide,transition_object,boundary_near,lqrta_glide_b7795023949c,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.5,0.5,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,0.5,0.5,0.05,-0.0317851505582092,0.0,0.027,-0.0722217629481223,0.5055890153549192,0.7971669948028199,0.245,boundary_near_route_usable_low_hard_failure,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,unsafe_negative_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_2c30a38f7c8e,heavy_cluster,heavy clustering and merging,primvar_glide_transition_object_c90d0507cf3b,primvar_glide_transition_object_c90d0507cf3b__entry_inflight_stable,glide,transition_object,inflight_stable,lqrta_glide_07610858b827,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.95,0.95,boundary_near;inflight_stable;recoverable_degraded,inflight_stable->boundary_near;inflight_stable->inflight_stable;inflight_stable->recoverable_degraded,0.95,0.0,0.0,-0.0040739087603499,0.0,0.0675,0.1996844918095659,0.6119075062555205,0.9100411660517036,0.13,inflight_stable_high_probability_transition_survivor,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_311d2972b1c4,heavy_cluster,heavy clustering and merging,primvar_glide_transition_object_786cbd0277dc,primvar_glide_transition_object_786cbd0277dc__entry_launch_gate,glide,transition_object,launch_gate,lqrta_glide_061f621e8942,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.5,0.5,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.5,0.0,0.0,-0.1386094923445421,0.0,0.0005,0.0042965023720533,0.7519280424156781,1.5516641323397051,0.43,launch_gate_route_usable_nonzero_handoff_low_hard_failure,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_0979fbee9c00,heavy_cluster,heavy clustering and merging,primvar_lift_dwell_arc_transition_object_643f7fa1070c,primvar_lift_dwell_arc_transition_object_643f7fa1070c__entry_boundary_near,lift_dwell_arc,transition_object,boundary_near,lqrta_lift_dwell_arc_0f52806abe58,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.5,0.5,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,0.5,0.5,0.05,-0.0326742783406012,0.0,0.023,-0.0720212434078781,0.5044665320849795,0.7971669948028199,0.515,boundary_near_route_usable_low_hard_failure,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,unsafe_negative_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_5ecd13cc2098,heavy_cluster,heavy clustering and merging,primvar_lift_dwell_arc_transition_object_b3209dbd4267,primvar_lift_dwell_arc_transition_object_b3209dbd4267__entry_inflight_stable,lift_dwell_arc,transition_object,inflight_stable,lqrta_lift_dwell_arc_0ed1a7f4385b,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.95,0.95,boundary_near;inflight_stable;recoverable_degraded,inflight_stable->boundary_near;inflight_stable->inflight_stable;inflight_stable->recoverable_degraded,0.95,0.0,0.0,-0.0026754042309073,0.0,0.065,0.2004410119854069,0.6119075062555205,0.9108929792166592,0.42,inflight_stable_high_probability_transition_survivor,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_778f1d7bc361,heavy_cluster,heavy clustering and merging,primvar_lift_dwell_arc_transition_object_bc1ff47b6888,primvar_lift_dwell_arc_transition_object_bc1ff47b6888__entry_launch_gate,lift_dwell_arc,transition_object,launch_gate,lqrta_lift_dwell_arc_ea19c403f2be,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.5,0.5,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.5,0.0,0.0,-0.1383227579032936,0.0,0.002,0.0042965023720533,0.7520692601837548,1.5515559745171716,0.86,launch_gate_route_usable_nonzero_handoff_low_hard_failure,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
