launch_role,termination_cause,row_count
final_heldout,wall_boundary_exit_retained,40
history,floor_margin_stop,69
history,no_viable_continuation_primitive,20
history,wall_boundary_exit_retained,324
history,wall_boundary_exit_uncontrolled,17
