audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_route_memory_score_component,route_memory_score_component_positive_count,mean_route_flow_exploitation_m,mean_route_flow_information_gain,mean_route_flow_confidence,mean_memory_cost_benefit_total_benefit,mean_memory_cost_benefit_total_cost,mean_memory_cost_benefit_net_value,memory_cost_benefit_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:balanced_cluster",20,20,1,1,0,0.00054655083152755,0.010931016630551,6.353924041647e-05,0.43008920782272264,1,0.03234564421549222,0.8587411419428065,3.833189468256065e-07,2,0.5682584519540292,20,0.047771201531818255,20,0.047929608992993894,20,1.5585309064794629e-06,0.21946410487748197,6.1860116325899995e-06,0.04799314823341037,6.353924041647e-05,0.047929608992993894,20,0.00048301159111108,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:heavy_cluster",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03220748750744957,0.8318776880585205,0.0,0,0.568599852832968,20,0.04815786612870418,20,0.04838358023981092,20,8.611063632234999e-06,0.274454301896472,5.815246682606e-05,0.04838358023981092,0.0,0.04838358023981092,20,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:light_cluster",20,20,1,1,0,0.000546384319889105,0.0109276863977821,6.353924041647e-05,0.42995817726793917,1,0.03192511826953368,0.8655552931440674,3.58057463193358e-07,4,0.5748921728057995,20,0.048580858157624765,20,0.04879607692734092,20,6.462869687616243e-06,0.21387709114611497,2.830847236820145e-05,0.0488596161677574,6.353924041647e-05,0.04879607692734092,20,0.00048284507947263494,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:no_cluster_no_merge",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03264045162455831,0.865952579727176,1.9189914974289393e-07,4,0.5771124553082954,20,0.04814070049008563,20,0.04838086924805145,20,3.970952623942187e-07,0.18794900412012963,2.410368502843404e-06,0.04838086924805145,0.0,0.04838086924805145,20,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:super_light_cluster",20,20,0,0,0,0.0,0.0,0.0,0.0,0,0.03099638021057109,0.8666302756340677,3.3028175781027726e-07,3,0.5755144664662437,20,0.04928832837480658,20,0.04956663247190927,20,2.6166613836236484e-06,0.22041772599946569,1.6920381382961193e-05,0.04956663247190927,0.0,0.04956663247190927,20,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:balanced_cluster",20,20,1,1,0,0.000215344063810265,0.0043068812762053,6.353924041647e-05,0.16945753710524525,1,0.05406501771551361,0.8475149247011116,8.854784881794387e-07,7,0.5607661000272885,20,0.04809556226482336,20,0.048158528670521325,20,-0.0003391487075043551,0.23206109321065957,0.005414565083438655,0.04822206791093779,6.353924041647e-05,0.048158528670521325,20,0.000151804823393795,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:heavy_cluster",20,20,2,2,0,0.000386985453194,0.0044788217803002,0.00012855526239946997,0.2991518970279114,2,0.046994441996960394,0.8230543431834194,8.910443186168736e-07,9,0.5629392893909747,20,0.04893482671942324,20,0.04892796988539545,20,-0.00020476364229085115,0.2923272644329345,0.0025714235910309835,0.04905652514779493,0.00012855526239946997,0.04892796988539545,20,0.000258430190794525,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:light_cluster",20,20,1,1,0,0.000200413036012885,0.0040082607202577,6.353924041647e-05,0.1577080829887695,1,0.040670012509331235,0.858759563561288,1.5906533590326567e-06,7,0.5696279764649698,20,0.048501725695552333,20,0.048819069322754455,20,2.6462324421704045e-05,0.21798840441914655,0.00040482800697161066,0.04888260856317092,6.353924041647e-05,0.048819069322754455,20,0.000136873795596405,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:no_cluster_no_merge",20,20,3,3,0,0.0007220538542012649,0.006931136650499,0.00027812940336859,0.4114929092515401,3,0.036520383565163406,0.8635225748658971,1.1334358808991858e-06,8,0.5713377214750742,20,0.04886778136753617,20,0.04891964520296089,20,5.626881196571166e-05,0.22311288812017818,0.0009052034314488477,0.049197774606329486,0.00027812940336859,0.04891964520296089,20,0.000443924450832665,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:super_light_cluster",20,20,2,2,0,0.000914835936500275,0.0141267557091074,0.000159117094117115,0.5335795105635617,2,0.038447760725048394,0.8605222200160256,2.7967736700030155e-06,8,0.5696941861227838,20,0.048497596681343694,20,0.048641799497883206,20,9.789522069904459e-06,0.2154258579242505,0.0002767506479811621,0.048800916592000324,0.000159117094117115,0.048641799497883206,20,0.000755718842383155,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
