audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,1104,828,28,28,0,0.0007380428184005415,0.0756126974317979,4.582730719782466e-06,200.60828635530373,24,0.02979832147626736,0.7449480867274828,1.2691205881675824e-05,213,0.3895463158681977,828,0.06452435267385655,804,0.0007397088605145296,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",55,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7674569283609199,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",54,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7394209237377942,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:light_cluster",55,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.774825939811373,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",56,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7618376030222596,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",56,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7630666528456277,0.0,0,0.0,0,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",55,55,2,2,0,0.0013535046786470493,0.0743923051474842,1.0909090909122004e-06,939.855451926638,2,0.03838993220447974,0.7445892312875834,8.499173459341506e-06,15,0.5195791172738743,55,0.08627098879731995,53,0.0013577934945544824,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",54,54,0,0,0,0.0,0.0,0.0,0.0,0,0.03922902556905559,0.7174106313157459,1.0198690445911776e-05,17,0.5011452304229325,54,0.08404213814168582,52,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",55,55,1,1,0,1.749053263533867e-06,9.619792949436268e-05,0.0,1749.0532635338668,1,0.039217305344376896,0.7510206667512853,3.4543761256005925e-06,15,0.5208578780850259,55,0.0868266949453064,55,2.1595691030145456e-06,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",56,56,6,6,0,0.0017661785396003702,0.0546976238204727,2.3673201636024858e-05,442.37496990575903,5,0.03637312450168577,0.7439256672212616,4.676503577256704e-06,17,0.5288976817327179,56,0.08630489783717359,54,0.0017680228043197733,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:super_light_cluster",56,56,3,3,0,0.002077790904302121,0.0730783178273832,3.919262925679339e-06,27.95555376610248,3,0.0392627869786472,0.7402510385429146,2.146479143073978e-06,15,0.5293902288968894,56,0.08713007414063734,54,0.0020893696991880957,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:balanced_cluster",55,55,1,1,0,0.0013525873663178946,0.0743923051474842,1.0909090909122004e-06,22.54312277190067,1,0.03689041434963399,0.7459677580552795,3.61134824977503e-05,7,0.5203364039371483,55,0.08627774273780707,53,0.0013566661062546963,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:heavy_cluster",54,54,0,0,0,0.0,0.0,0.0,0.0,0,0.03855826372718823,0.7184180078510907,5.657701766794938e-05,7,0.5017186626625331,54,0.08401827229733343,52,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:light_cluster",55,55,0,0,0,0.0,0.0,0.0,0.0,0,0.04065518385816494,0.7527422413103452,4.235091445553517e-05,7,0.5217069102379528,55,0.08686281209703187,55,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:no_cluster_no_merge",56,56,2,2,0,0.0020767027129880893,0.0730783178273832,1.7857142857259844e-07,415.34054259489733,2,0.03521792076098091,0.7420107911186581,7.351126907203449e-06,8,0.5270316028202506,56,0.08630269694286961,54,0.0020925108475568443,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:super_light_cluster",56,56,2,2,0,0.0020766976844678073,0.0730783178273832,3.303571428572303e-06,27.923321139515117,2,0.03663764317699357,0.7422689273283299,1.5139840430095873e-05,7,0.530678003238777,56,0.08720783581113004,54,0.002089380136151091,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:balanced_cluster",55,55,4,4,0,0.001384525439300433,0.0756126974317979,2.5454545454510355e-06,24.613258519649737,4,0.04319990625271051,0.7421789626400935,1.3239056561262582e-05,20,0.5175020592434203,55,0.086102359898287,53,0.0013948667301706197,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:heavy_cluster",54,54,0,0,0,0.0,0.0,0.0,0.0,0,0.04346623962862813,0.7160578780370551,2.9256822355342582e-06,23,0.4998815524190172,54,0.0838726521253342,52,0.0,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:light_cluster",55,55,1,1,0,6.888429220969723e-16,3.7886360715333473e-14,0.0,6.888429220969722e-07,0,0.043467298965605944,0.7482171255923872,1.7763949535244844e-05,18,0.5189054889650044,55,0.08665051259598083,55,8.518438479851201e-16,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:no_cluster_no_merge",56,56,3,3,0,0.0017668930660330678,0.0546976238204729,2.160354835374006e-05,347.0025084186904,3,0.04356739711308614,0.7417130610083849,1.9478632389436277e-05,18,0.5274829057845177,56,0.08616515676433419,54,0.001763330601167052,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
"launch_role:final_heldout,environment_block_id:targeted_memory_opportunity_arena_wide_four_fan,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:super_light_cluster",56,56,3,3,0,0.0007664355202883644,0.0413312058121394,3.302424984597679e-05,7.045385907284335,1,0.041968879151331774,0.7436253477836409,1.4940700045653896e-05,19,0.5238775504806831,56,0.08628199679880598,54,0.0007421512241785561,outer_loop_spatial_flow_belief_safe_information_gain_memory_v2_4,profiled
