launch_role,termination_cause,row_count
final_heldout,floor_margin_stop,40
final_heldout,no_viable_continuation_primitive,16
final_heldout,wall_boundary_exit_retained,128
final_heldout,wall_boundary_exit_uncontrolled,16
history,floor_margin_stop,498
history,no_viable_continuation_primitive,172
history,wall_boundary_exit_retained,1428
history,wall_boundary_exit_uncontrolled,52
