relative_path,byte_count,size_mb,under_100mb,dense_table_partition
chunk_manifests/w01_primitive_rows/c00000.json,507,0.00048351287841796875,True,False
chunk_manifests/w01_primitive_rows/c00001.json,509,0.00048542022705078125,True,False
chunk_manifests/w01_primitive_rows/c00002.json,508,0.000484466552734375,True,False
chunk_manifests/w01_primitive_rows/c00003.json,509,0.00048542022705078125,True,False
manifests/primitive_variant_registry.json,382210,0.3645038604736328,True,False
manifests/run_manifest.json,2410,0.0022983551025390625,True,False
manifests/table_manifest.json,21498,0.020502090454101562,True,False
metrics/boundary_summary.csv,99,9.441375732421875e-05,True,False
metrics/chunk_summary.csv,893,0.0008516311645507812,True,False
metrics/coverage_summary.csv,770,0.0007343292236328125,True,False
metrics/failure_summary.csv,176,0.0001678466796875,True,False
metrics/outcome_summary.csv,65,6.198883056640625e-05,True,False
metrics/primitive_variant_registry.csv,283204,0.2700843811035156,True,False
metrics/runtime_summary.csv,372,0.000354766845703125,True,False
reports/claim_boundary_report.md,431,0.00041103363037109375,True,False
reports/run_report.md,208,0.0001983642578125,True,False
tables/w01_primitive_rows/c00000.csv.gz,123191,0.11748409271240234,True,True
tables/w01_primitive_rows/c00001.csv.gz,122429,0.11675739288330078,True,True
tables/w01_primitive_rows/c00002.csv.gz,123683,0.11795330047607422,True,True
tables/w01_primitive_rows/c00003.csv.gz,122782,0.11709403991699219,True,True
