event_id,surface_index,surface_name,command_before_norm_1,command_before_norm_2,command_before_norm_3,command_before_norm_4,command_after_norm_1,command_after_norm_2,command_after_norm_3,command_after_norm_4,scheduled_start_s,scheduled_end_s,random_seed,repetition_index,step_kind,step_label,latency_method
1,2,Aileron_R,0,0,0,0,0,0.7,0,0,8.2886864,8.8886864,2,1,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
2,2,Aileron_R,0,0.7,0,0,0,0,0,0,8.8886864,9.4886864,2,1,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
3,2,Aileron_R,0,0,0,0,0,-0.7,0,0,9.4886864,10.0886864,2,1,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
4,2,Aileron_R,0,-0.7,0,0,0,0,0,0,10.0886864,10.6886864,2,1,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
5,4,Elevator,0,0,0,0,0,0,0,0.7,10.6886864,11.2886864,2,1,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
6,4,Elevator,0,0,0,0.7,0,0,0,0,11.2886864,11.8886864,2,1,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
7,4,Elevator,0,0,0,0,0,0,0,-0.7,11.8886864,12.4886864,2,1,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
8,4,Elevator,0,0,0,-0.7,0,0,0,0,12.4886864,13.0886864,2,1,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
9,1,Aileron_L,0,0,0,0,0.7,0,0,0,13.0886864,13.6886864,2,1,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
10,1,Aileron_L,0.7,0,0,0,0,0,0,0,13.6886864,14.2886864,2,1,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
11,1,Aileron_L,0,0,0,0,-0.7,0,0,0,14.2886864,14.8886864,2,1,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
12,1,Aileron_L,-0.7,0,0,0,0,0,0,0,14.8886864,15.4886864,2,1,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
