frame_number,t_capture_host_s,state_ready_host_s,subject_name,surface_index,surface_name,raw_surface_angle_rad,raw_surface_angle_deg,surface_angle_rad,surface_angle_deg,surface_rate_radps,surface_rate_degps,state_filter_enabled,state_filter_cutoff_hz,quality_flag
2351220,6.27252763249941,6.2894162,Aileron_L,1,Aileron_L,0.0185532904755465,1.06302524032909,0.0185532904755465,1.06302524032909,NaN,NaN,1,20,ok
2351220,6.27252763249941,6.2894162,Aileron_R,2,Aileron_R,0.00457493491503724,0.262124462178676,0.00457493491503724,0.262124462178676,NaN,NaN,1,20,ok
2351220,6.27252763249941,6.2894162,Rudder,3,Rudder,0.0160815442053677,0.921404611020633,0.0160815442053677,0.921404611020633,NaN,NaN,1,20,ok
2351220,6.27252763249941,6.2894162,Elevator,4,Elevator,0.00360256851581742,0.206411971363047,0.00360256851581742,0.206411971363047,NaN,NaN,1,20,ok
2351228,6.31284526249997,6.3297296,Aileron_L,1,Aileron_L,-0.0324087736300549,-1.85688594819702,-0.0320874740416608,-1.83847683782275,-1.25604517221144,-71.9660872454983,1,20,ok
2351228,6.31284526249997,6.3297296,Aileron_R,2,Aileron_R,-0.0186254028870634,-1.06715697715951,-0.0184791321439675,-1.05877628091387,-0.571811067731063,-32.7623608598592,1,20,ok
2351228,6.31284526249997,6.3297296,Rudder,3,Rudder,-0.0251106483080643,-1.43873416888941,-0.0248509446494332,-1.42385424532574,-1.01525037196469,-58.1695614626639,1,20,ok
2351228,6.31284526249997,6.3297296,Elevator,4,Elevator,0.00186052213993593,0.106600066308977,0.00187150518768631,0.107229348591264,-0.0429356420034406,-2.46003107748177,1,20,ok
2351232,6.33260691999992,6.3495869,Aileron_L,1,Aileron_L,0.00364912032536546,0.209079193578847,0.000666351231772389,0.0381791132539016,1.65744322172967,94.9645013876761,1,20,ok
2351232,6.33260691999992,6.3495869,Aileron_R,2,Aileron_R,0.0238501722926392,1.36651421302808,0.0203171400252078,1.16408637522073,1.96320942052943,112.48361409666,1,20,ok
2351232,6.33260691999992,6.3495869,Rudder,3,Rudder,0.0738118771799474,4.22910904034898,0.0655769454285631,3.75728220641638,4.57592639070034,262.181269549661,1,20,ok
2351232,6.33260691999992,6.3495869,Elevator,4,Elevator,0.00147861771738089,0.0847185547191927,0.00151141022669643,0.0865974271026164,-0.0182219007181362,-1.04403800585561,1,20,ok
2351236,6.35177728750002,6.3693332,Aileron_L,1,Aileron_L,-0.0208942996533921,-1.19715518602102,-0.0189559236577175,-1.0860944223594,-1.02357322515528,-58.6464258239916,1,20,ok
2351236,6.35177728750002,6.3693332,Aileron_R,2,Aileron_R,-0.0178327574243253,-1.02174173749443,-0.0144029516245148,-0.825228340615789,-1.81113333636095,-103.77029630893,1,20,ok
2351236,6.35177728750002,6.3693332,Rudder,3,Rudder,0.0361262420811848,2.0698812009198,0.0387739606833897,2.22158430216442,-1.39814663151517,-80.107901126252,1,20,ok
2351236,6.35177728750002,6.3693332,Elevator,4,Elevator,-0.0144426032961817,-0.827500214052945,-0.0130082831074207,-0.745319720766533,-0.757402972793353,-43.395993731721,1,20,ok
2351240,6.37136328749836,6.388277,Aileron_L,1,Aileron_L,-0.0239274694708458,-1.37094301510759,-0.0235032560196413,-1.34663737474089,-0.232172590743772,-13.3025095682363,1,20,ok
2351240,6.37136328749836,6.388277,Aileron_R,2,Aileron_R,-0.00627856122256887,-0.359735059467694,-0.00697180147839438,-0.399454800315066,0.379411321696487,21.7386674326891,1,20,ok
2351240,6.37136328749836,6.388277,Rudder,3,Rudder,-0.041791373063027,-2.39446929656817,-0.034916871738762,-2.00058938443068,-3.7624237939533,-215.571004133123,1,20,ok
2351240,6.37136328749836,6.388277,Elevator,4,Elevator,-0.0313626078123677,-1.79694506217269,-0.0297964648620104,-1.70721168100305,-0.857152137036972,-49.1111998528377,1,20,ok
2351243,6.3873964074991,6.4037353,Aileron_L,1,Aileron_L,-0.0305784125948594,-1.75201398589512,-0.0296349435337051,-1.69795719058981,-0.382438821251304,-21.9121303796578,1,20,ok
2351243,6.3873964074991,6.4037353,Aileron_R,2,Aileron_R,0.0188109442347142,1.07778771330507,0.0153728262745934,0.88079806472202,1.39365436995146,79.8505134981825,1,20,ok
2351243,6.3873964074991,6.4037353,Rudder,3,Rudder,0.0659551834022225,3.77895364595865,0.0525039385924742,3.00825408916281,5.45251394159092,312.406036589401,1,20,ok
2351243,6.3873964074991,6.4037353,Elevator,4,Elevator,0.00415167902738789,0.237873686162305,-0.000375291238605246,-0.0215026040603178,1.83502484993856,105.139179203106,1,20,ok
2351247,6.40759864750019,6.423701,Aileron_L,1,Aileron_L,-0.00289493385024198,-0.165867491588423,-0.00500659008057891,-0.286856481369234,1.21909023216244,69.8487251485313,1,20,ok
2351247,6.40759864750019,6.423701,Aileron_R,2,Aileron_R,-0.0114035231638305,-0.653373748867161,-0.00928899718621645,-0.5322203346791,-1.22074697951727,-69.943649779683,1,20,ok
2351247,6.40759864750019,6.423701,Rudder,3,Rudder,-0.062449249295613,-3.57807841839896,-0.0533714060833455,-3.05795631525454,-5.24077254156587,-300.274148019774,1,20,ok
2351247,6.40759864750019,6.423701,Elevator,4,Elevator,0.0131103167620426,0.751165818544657,0.0120453594755063,0.690148260664428,0.614815521122577,35.22633453946,1,20,ok
2351250,6.42588777000005,6.4424777,Aileron_L,1,Aileron_L,-0.0285130227566346,-1.63367586511563,-0.0261522353762684,-1.49841271189291,-1.15618697921948,-66.2446342372561,1,20,ok
2351250,6.42588777000005,6.4424777,Aileron_R,2,Aileron_R,-0.0257813897818582,-1.47716482448218,-0.0241250332921941,-1.38226258825532,-0.811194528665345,-46.4780228566283,1,20,ok
2351250,6.42588777000005,6.4424777,Rudder,3,Rudder,-0.106998282489225,-6.13055000178115,-0.101612452371479,-5.82196466685985,-2.63769058840849,-151.128538377185,1,20,ok
2351250,6.42588777000005,6.4424777,Elevator,4,Elevator,0.00517380227894915,0.296437034618953,0.00586392339331221,0.335978061824822,-0.337984289964762,-19.3650733567067,1,20,ok
2351254,6.44542720749962,6.4624124,Aileron_L,1,Aileron_L,0.00369890303079501,0.211931532492703,0.00113680915465419,0.0651343666735202,1.39661361958467,80.0200660126908,1,20,ok
2351254,6.44542720749962,6.4624124,Aileron_R,2,Aileron_R,0.00418861256091452,0.239989821755885,0.00175848015985647,0.100753491517266,1.3246805826739,75.8986065901453,1,20,ok
2351254,6.44542720749962,6.4624124,Rudder,3,Rudder,-0.0165817298618229,-0.9500631381085,-0.0238798332190564,-1.36821365892823,3.97824242146858,227.936500630054,1,20,ok
2351254,6.44542720749962,6.4624124,Elevator,4,Elevator,-0.0139879799326081,-0.801452214052136,-0.0122841105776943,-0.703827691173895,-0.928789990571939,-53.2157465137676,1,20,ok
2351259,6.46867350999995,6.4861156,Aileron_L,1,Aileron_L,-0.0159911381199311,-0.91622472388282,-0.015068487878843,-0.86336075910174,-0.697112886372879,-39.9416262333489,1,20,ok
2351259,6.46867350999995,6.4861156,Aileron_R,2,Aileron_R,-0.00362094819427616,-0.207465049367541,-0.00333116852667859,-0.190861897425496,-0.218944440151906,-12.5445923685589,1,20,ok
2351259,6.46867350999995,6.4861156,Rudder,3,Rudder,0.0440761089148425,2.52537501817942,0.0404154503789393,2.31563473383363,2.76582839774638,158.470294048298,1,20,ok
2351259,6.46867350999995,6.4861156,Elevator,4,Elevator,0.00493159515625363,0.282559588720493,0.00400421753234559,0.229424764855691,0.700684683502404,40.1462751341476,1,20,ok
2351264,6.49072454750019,6.5068397,Aileron_L,1,Aileron_L,-0.0196379473039654,-1.12517149881753,-0.0193519063224459,-1.10878255780868,-0.194250199953434,-11.1297166269041,1,20,ok
2351264,6.49072454750019,6.5068397,Aileron_R,2,Aileron_R,-0.0127143878840243,-0.728480764846864,-0.0121270130930302,-0.694826668330522,-0.398885747042724,-22.8544698134711,1,20,ok
2351264,6.49072454750019,6.5068397,Rudder,3,Rudder,-0.00754367606865136,-0.432220800747564,-0.00454151009548154,-0.260209361087148,-2.03876849213671,-116.812830003684,1,20,ok
2351264,6.49072454750019,6.5068397,Elevator,4,Elevator,0.000636468047058525,0.0364669328913873,0.000847283874196858,0.0485457900409734,-0.1431648582573,-8.20274215273197,1,20,ok
2351267,6.50924066499898,6.5259088,Aileron_L,1,Aileron_L,0.0225059260250147,1.28949457526698,0.0184202999275449,1.05540544321346,2.03996362911651,116.881306308567,1,20,ok
2351267,6.50924066499898,6.5259088,Aileron_R,2,Aileron_R,-0.0227425691994094,-1.30305323041038,-0.0217064144194068,-1.24368593459392,-0.517354749288003,-29.6422436452514,1,20,ok
2351267,6.50924066499898,6.5259088,Rudder,3,Rudder,0.0188492352981213,1.07998162963137,0.0165661299756552,0.949169330470205,1.13996036547671,65.3149177540065,1,20,ok
