surface_scale,selected,objective,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,final_theta_mae_deg,final_phi_mae_deg,final_psi_mae_deg
0,False,61.6566299,0.6593356497,1.361145223,1.083831441,1.011326485,19.41114944,14.46402823,11.63583338
0.25,True,61.131968,0.6518104822,1.308655307,1.059038949,0.9860070512,20.3036998,18.88894011,11.69341387
0.5,False,61.81053814,0.6584039096,1.312542482,1.057415824,0.9837895443,21.26685822,22.35436413,12.46006481
0.75,False,62.97656233,0.6924596972,1.340916463,1.058847282,0.9846232734,22.30698494,25.45471701,14.9337428
1,False,64.29212761,0.8106394575,1.364165906,1.095312301,1.022141549,22.28776022,21.2930434,33.21328759
