surface_scale,selected,objective,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,final_theta_mae_deg,final_phi_mae_deg,final_psi_mae_deg
0,False,23.82234359,0.587217554,1.003909662,0.1873120179,0.1597728417,16.47026858,17.08958482,25.99488896
0.25,True,20.62760863,0.5982048639,0.5914120012,0.1316408933,0.1099379031,11.85822675,24.6460926,42.65758779
0.5,False,26.58051454,0.598680334,0.4277950112,0.2639435837,0.2229031533,11.16195282,12.23389424,85.85703753
0.75,False,50.03910891,0.5561479478,0.5218503585,0.8206975296,0.6986816265,24.22303047,19.76991594,59.18479398
1,False,47.6865859,0.4536397608,0.4629243481,0.7654058999,0.6517106902,28.1496239,38.4980607,64.18375217
