event_id,surface_index,surface_name,command_level_norm,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count,settled_deflection_deg,fitted_deflection_deg,implementation_error_deg,valid,rejection_reason
1,1,Aileron_L,0,positive_first,positive,outbound,1,15,-10.6524411718718,0,-10.6524411718718,0,unstable_final_window
2,1,Aileron_L,0.05,positive_first,positive,outbound,2,15,-10.2690695726636,0,-10.2690695726636,0,unstable_final_window
3,1,Aileron_L,0.1,positive_first,positive,outbound,3,15,-9.15844846222917,0,-9.15844846222917,1,
4,1,Aileron_L,0.2,positive_first,positive,outbound,4,15,-27.0167075897257,0,-27.0167075897257,0,unstable_final_window
5,1,Aileron_L,0.4,positive_first,positive,outbound,5,15,-9.19641976110162,0,-9.19641976110162,0,unstable_final_window
6,1,Aileron_L,0.6,positive_first,positive,outbound,6,15,8.43007747868192,0,8.43007747868192,0,unstable_final_window
7,1,Aileron_L,0.8,positive_first,positive,outbound,7,15,11.6527696812631,0,11.6527696812631,0,unstable_final_window
8,1,Aileron_L,1,positive_first,positive,outbound,8,15,23.2288069279379,0,23.2288069279379,0,unstable_final_window
9,1,Aileron_L,0.8,positive_first,positive,return,9,15,20.9811499140982,0,20.9811499140982,0,unstable_final_window
10,1,Aileron_L,0.6,positive_first,positive,return,10,15,18.4805966851955,0,18.4805966851955,0,unstable_final_window
11,1,Aileron_L,0.4,positive_first,positive,return,11,15,-3.11681950507337,0,-3.11681950507337,0,unstable_final_window
12,1,Aileron_L,0.2,positive_first,positive,return,12,15,-27.8623476434442,0,-27.8623476434442,0,unstable_final_window
13,1,Aileron_L,0.1,positive_first,positive,return,13,15,-23.3359840912202,0,-23.3359840912202,0,unstable_final_window
14,1,Aileron_L,0.05,positive_first,positive,return,14,15,-19.137062329515,0,-19.137062329515,0,unstable_final_window
15,1,Aileron_L,0,positive_first,positive,return,15,15,-0.93159286188998,0,-0.93159286188998,0,unstable_final_window
16,1,Aileron_L,-0,positive_first,negative,outbound,1,15,-2.82338976077748,0,-2.82338976077748,0,unstable_final_window
17,1,Aileron_L,-0.05,positive_first,negative,outbound,2,15,-3.09914096782122,0,-3.09914096782122,1,
18,1,Aileron_L,-0.1,positive_first,negative,outbound,3,15,-13.6165027173676,0,-13.6165027173676,0,unstable_final_window
19,1,Aileron_L,-0.2,positive_first,negative,outbound,4,15,3.79663168069938,0,3.79663168069938,1,
20,1,Aileron_L,-0.4,positive_first,negative,outbound,5,15,-13.6048972035062,0,-13.6048972035062,0,unstable_final_window
21,1,Aileron_L,-0.6,positive_first,negative,outbound,6,15,-21.423508127011,-5.22476146375941,-16.1987466632516,1,
22,1,Aileron_L,-0.8,positive_first,negative,outbound,7,15,-13.7763788256482,-10.4495229275188,-3.32685589812939,1,
23,1,Aileron_L,-1,positive_first,negative,outbound,8,15,-36.7120522331305,-15.6742843912782,-21.0377678418523,0,unstable_final_window
24,1,Aileron_L,-0.8,positive_first,negative,return,9,15,-30.3390718855951,-10.4495229275188,-19.8895489580763,0,unstable_final_window
25,1,Aileron_L,-0.6,positive_first,negative,return,10,15,-24.6873071726878,-5.22476146375941,-19.4625457089283,0,unstable_final_window
26,1,Aileron_L,-0.4,positive_first,negative,return,11,15,-15.8155296714767,0,-15.8155296714767,0,unstable_final_window
27,1,Aileron_L,-0.2,positive_first,negative,return,12,15,3.96707973120043,0,3.96707973120043,0,unstable_final_window
28,1,Aileron_L,-0.1,positive_first,negative,return,13,15,-8.89908425898118,0,-8.89908425898118,0,unstable_final_window
29,1,Aileron_L,-0.05,positive_first,negative,return,14,15,-10.9064474010606,0,-10.9064474010606,0,unstable_final_window
30,1,Aileron_L,-0,positive_first,negative,return,15,15,-4.60784474624319,0,-4.60784474624319,0,unstable_final_window
31,1,Aileron_L,-0,negative_first,negative,outbound,1,15,-4.13496927321834,0,-4.13496927321834,0,unstable_final_window
32,1,Aileron_L,-0.05,negative_first,negative,outbound,2,15,-4.86990308555963,0,-4.86990308555963,0,unstable_final_window
33,1,Aileron_L,-0.1,negative_first,negative,outbound,3,15,-4.11866012966342,0,-4.11866012966342,0,unstable_final_window
34,1,Aileron_L,-0.2,negative_first,negative,outbound,4,15,-16.5833707216116,0,-16.5833707216116,0,unstable_final_window
35,1,Aileron_L,-0.4,negative_first,negative,outbound,5,15,-16.9388403567983,0,-16.9388403567983,0,unstable_final_window
36,1,Aileron_L,-0.6,negative_first,negative,outbound,6,15,-19.8073828232782,-5.22476146375941,-14.5826213595188,0,unstable_final_window
37,1,Aileron_L,-0.8,negative_first,negative,outbound,7,15,-13.0381971489226,-10.4495229275188,-2.58867422140377,0,unstable_final_window
38,1,Aileron_L,-1,negative_first,negative,outbound,8,15,-34.6876127178109,-15.6742843912782,-19.0133283265327,0,unstable_final_window
39,1,Aileron_L,-0.8,negative_first,negative,return,9,15,-32.0858843992147,-10.4495229275188,-21.6363614716959,0,unstable_final_window
40,1,Aileron_L,-0.6,negative_first,negative,return,10,15,-23.9314419391437,-5.22476146375941,-18.7066804753843,0,unstable_final_window
41,1,Aileron_L,-0.4,negative_first,negative,return,11,15,-17.1435464783479,0,-17.1435464783479,1,
42,1,Aileron_L,-0.2,negative_first,negative,return,12,15,0.810388750706977,0,0.810388750706977,0,unstable_final_window
43,1,Aileron_L,-0.1,negative_first,negative,return,13,15,-8.10827741024705,0,-8.10827741024705,0,unstable_final_window
44,1,Aileron_L,-0.05,negative_first,negative,return,14,15,-11.2206215637249,0,-11.2206215637249,0,unstable_final_window
45,1,Aileron_L,-0,negative_first,negative,return,15,15,-4.07765778420416,0,-4.07765778420416,0,unstable_final_window
46,1,Aileron_L,0,negative_first,positive,outbound,1,15,-4.30062023091744,0,-4.30062023091744,0,unstable_final_window
47,1,Aileron_L,0.05,negative_first,positive,outbound,2,15,-2.43323185782884,0,-2.43323185782884,0,unstable_final_window
48,1,Aileron_L,0.1,negative_first,positive,outbound,3,15,-9.54068096888143,0,-9.54068096888143,0,unstable_final_window
49,1,Aileron_L,0.2,negative_first,positive,outbound,4,15,-15.2235334937537,0,-15.2235334937537,0,unstable_final_window
50,1,Aileron_L,0.4,negative_first,positive,outbound,5,15,-11.01444936851,0,-11.01444936851,0,unstable_final_window
51,1,Aileron_L,0.6,negative_first,positive,outbound,6,15,9.95096322155082,0,9.95096322155082,0,unstable_final_window
52,1,Aileron_L,0.8,negative_first,positive,outbound,7,15,11.2843478503635,0,11.2843478503635,0,unstable_final_window
53,1,Aileron_L,1,negative_first,positive,outbound,8,15,21.2342655612487,0,21.2342655612487,0,unstable_final_window
54,1,Aileron_L,0.8,negative_first,positive,return,9,15,24.1199115085865,0,24.1199115085865,0,unstable_final_window
55,1,Aileron_L,0.6,negative_first,positive,return,10,15,6.8369214083094,0,6.8369214083094,0,unstable_final_window
56,1,Aileron_L,0.4,negative_first,positive,return,11,15,0.223125824447063,0,0.223125824447063,0,unstable_final_window
57,1,Aileron_L,0.2,negative_first,positive,return,12,15,-29.7102902623864,0,-29.7102902623864,0,unstable_final_window
