parameter,old_value,new_value,reason,stage_id
memory_switch_min_confidence,0.5,0.45,memory_opportunities_seen_but_switch_acceptance_low_relax_confidence_gate,R10
memory_switch_min_score_margin,0.0075,0.00375,memory_opportunities_seen_but_switch_acceptance_low_relax_score_margin,R10
memory_switch_max_base_score_drop,0.0225,0.0325,memory_opportunities_seen_but_switch_acceptance_low_allow_small_baseline_tradeoff,R10
memory_switch_max_transition_success_drop,0.01,0.015,memory_opportunities_seen_but_switch_acceptance_low_allow_small_transition_tradeoff,R10
adaptive_switch_max_path_exit_margin_drop_m,0.037500000000000006,0.04750000000000001,memory_opportunities_seen_but_switch_acceptance_low_allow_small_path_margin_tradeoff,R10
