library_size_case_id,policy_id,launch_role,rejection_reason,row_count
balanced_cluster,directional_3d_residual_memory_h10,final_heldout,,120
balanced_cluster,directional_3d_residual_memory_h3,final_heldout,,120
balanced_cluster,directional_3d_residual_memory_h30,final_heldout,,120
balanced_cluster,no_memory_baseline,final_heldout,,120
heavy_cluster,directional_3d_residual_memory_h10,final_heldout,,82
heavy_cluster,directional_3d_residual_memory_h3,final_heldout,,82
heavy_cluster,directional_3d_residual_memory_h30,final_heldout,,82
heavy_cluster,no_memory_baseline,final_heldout,,82
light_cluster,directional_3d_residual_memory_h10,final_heldout,,212
light_cluster,directional_3d_residual_memory_h3,final_heldout,,212
light_cluster,directional_3d_residual_memory_h30,final_heldout,,212
light_cluster,no_memory_baseline,final_heldout,,212
no_cluster_no_merge,directional_3d_residual_memory_h10,final_heldout,,714
no_cluster_no_merge,directional_3d_residual_memory_h3,final_heldout,,715
no_cluster_no_merge,directional_3d_residual_memory_h30,final_heldout,,715
no_cluster_no_merge,no_memory_baseline,final_heldout,,711
super_light_cluster,directional_3d_residual_memory_h10,final_heldout,,429
super_light_cluster,directional_3d_residual_memory_h3,final_heldout,,429
super_light_cluster,directional_3d_residual_memory_h30,final_heldout,,429
super_light_cluster,no_memory_baseline,final_heldout,,429
